nTrees,Bagging: normality,SA: normality,Variance test,Comparison test,Result
10,Shapiro: 0.309,Shapiro: 0.193,Levene (mean): 0.084,T-test (equal var): 0.409,H0 accepted
20,Shapiro: 0.892,Shapiro: 0.010,Levene (median): 0.687,Mann-Whitney: 0.001,H0 rejected
30,Shapiro: 0.397,Shapiro: 0.303,Levene (mean): 0.718,T-test (equal var): 0.000,H0 rejected
40,Shapiro: 0.810,Shapiro: 0.579,Levene (mean): 0.620,T-test (equal var): 0.000,H0 rejected
50,Shapiro: 0.039,Shapiro: 0.736,Levene (median): 0.293,Mann-Whitney: 0.001,H0 rejected
