Dataset,nTrees,BaggingPrecision,SAPrecision,BaggingPrecisionSTD,SAPrecisionSTD
digits,10,0.92957230692241,0.93363600690398,0.01640550122176002,0.020835173480000187
digits,20,0.9395383774961954,0.9520473512155431,0.012794898360428226,0.015084959535570742
digits,30,0.9403901254911081,0.9547334426107809,0.013447846766600175,0.012647327779489643
digits,40,0.9392036553549485,0.9546731450536158,0.011564542449915326,0.01152199693850325
