nTrees,Bagging: normality,SA: normality,Variance test,Comparison test,Result
10,Shapiro: 0.796,Shapiro: 0.902,Levene (mean): 0.550,T-test (equal var): 0.034,H0 rejected
20,Shapiro: 0.203,Shapiro: 0.234,Levene (mean): 0.971,T-test (equal var): 0.010,H0 rejected
30,Shapiro: 0.070,Shapiro: 0.415,Levene (mean): 0.013,T-test (unequal var): 0.090,H0 accepted
40,Shapiro: 0.558,Shapiro: 0.603,Levene (mean): 0.228,T-test (equal var): 0.279,H0 accepted
50,Shapiro: 0.078,Shapiro: 0.038,Levene (median): 0.700,Mann-Whitney: 0.376,H0 accepted
