Dataset,nTrees,BaggingAccuracy,SAAccuracy,BaggingAccuracySTD,SAAccuracySTD
digits,10,0.9284311358712474,0.9327613741875581,0.015843632086564505,0.020515235874037644
digits,20,0.9377765397709688,0.9505756731662024,0.012198648984862063,0.014433998514852492
digits,30,0.9389990714948933,0.9536898792943361,0.011940355140470352,0.012035010670396126
digits,40,0.9383348808418447,0.9533574744661095,0.011045263178248811,0.010491949578409536
digits,50,0.9418384401114206,0.9577042711234911,0.012056067434904102,0.009721950528540194
