Dataset,nTrees,BaggingF1,SAF1,BaggingF1STD,SAF1STD
digits,10,0.9275182870913619,0.9321513182397051,0.016578939378175957,0.021120899063517447
digits,20,0.9372347393835786,0.9501907810081572,0.012830540305476522,0.015245915111223536
digits,30,0.9383775631145117,0.9532105988960964,0.012870195584892566,0.012610086112394486
digits,40,0.9371937655743116,0.9533675424473032,0.011013512286840202,0.01164071206050307
