Iteration,Accuracy
1,0.9222222222222223
2,0.9166666666666666
3,0.9333333333333333
4,0.9
5,0.9222222222222223
6,0.9194444444444444
7,0.9138888888888889
8,0.9138888888888889
9,0.9138888888888889
10,0.9222222222222223
11,0.9305555555555556
12,0.9333333333333333
13,0.9166666666666666
14,0.9333333333333333
15,0.9388888888888889
16,0.9222222222222223
17,0.9166666666666666
18,0.9138888888888889
19,0.9083333333333333
20,0.9305555555555556
21,0.9138888888888889
22,0.9416666666666667
23,0.9055555555555556
24,0.9222222222222223
25,0.9166666666666666
26,0.925
27,0.9194444444444444
28,0.9083333333333333
29,0.9111111111111111
30,0.9333333333333333
31,0.9222222222222223
32,0.9055555555555556
33,0.9166666666666666
34,0.9055555555555556
35,0.9111111111111111
36,0.9305555555555556
37,0.9111111111111111
38,0.9361111111111111
39,0.9222222222222223
40,0.9305555555555556
