Dataset,nTrees,Rep,K,BaggingAccuracy,BaggingPrecision,BaggingRecall,BaggingF1,SAAccuracy,SAPrecision,SARecall,SAF1
pima,40,0,2,0.7142857142857143,0.7124635568513119,0.7142857142857143,0.7132522026716276,0.7467532467532467,0.7421655695666434,0.7467532467532467,0.7403493058665472
pima,40,0,3,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.7792207792207793,0.7755087102913191,0.7792207792207793,0.7737569873492204
pima,40,0,4,0.7712418300653595,0.7684214711525635,0.7712418300653595,0.7695182717697882,0.803921568627451,0.8010737628384688,0.803921568627451,0.8019036740909956
pima,40,0,5,0.7581699346405228,0.7477842954516383,0.7581699346405228,0.7485405021737201,0.7647058823529411,0.7546505781799899,0.7647058823529411,0.7542584601408131
pima,40,1,1,0.7467532467532467,0.7401405933516025,0.7467532467532467,0.740694711986578,0.7857142857142857,0.7835642618251314,0.7857142857142857,0.7759082627799807
pima,40,1,2,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7467532467532467,0.7434112683505547,0.7467532467532467,0.7442632823343484
pima,40,1,3,0.7987012987012987,0.7968344004211741,0.7987012987012987,0.7974484599813076,0.8051948051948052,0.8026014865637507,0.8051948051948052,0.8015220074043603
pima,40,1,4,0.7843137254901961,0.7795691115952553,0.7843137254901961,0.7801432021533518,0.7647058823529411,0.7580185227244051,0.7647058823529411,0.7577396273643942
pima,40,1,5,0.803921568627451,0.7980885718131646,0.803921568627451,0.7969779878124612,0.7581699346405228,0.7467320261437909,0.7581699346405228,0.743839264100702
pima,40,2,1,0.7532467532467533,0.7473701821527908,0.7532467532467533,0.748121878121878,0.7402597402597403,0.7337348641696468,0.7402597402597403,0.7348651348651349
pima,40,2,2,0.7337662337662337,0.7368121038136902,0.7337662337662337,0.7350091551772223,0.7207792207792207,0.7145142726538075,0.7207792207792207,0.7101616993997536
pima,40,2,3,0.7532467532467533,0.7501028383381324,0.7532467532467533,0.7511447811447811,0.7662337662337663,0.7646127946127946,0.7662337662337663,0.7652892561983471
pima,40,2,4,0.8169934640522876,0.8189080345943092,0.8169934640522876,0.8178049081267726,0.7450980392156863,0.7374124279733035,0.7450980392156863,0.738460033551959
pima,40,2,5,0.7647058823529411,0.7546505781799899,0.7647058823529411,0.7542584601408131,0.7254901960784313,0.7065546218487394,0.7254901960784313,0.7013056939022749
pima,40,3,1,0.7337662337662337,0.7255803069756558,0.7337662337662337,0.7256102474747123,0.7467532467532467,0.7394103845647122,0.7467532467532467,0.7371540246262263
pima,40,3,2,0.7077922077922078,0.7068256395440334,0.7077922077922078,0.7072787541361544,0.7272727272727273,0.721487603305785,0.7272727272727273,0.717823581330149
pima,40,3,3,0.7857142857142857,0.7849403122130396,0.7857142857142857,0.7852929071203184,0.7662337662337663,0.7617113160591422,0.7662337662337663,0.7604485748403509
