dataset,k_cross,rep,fitness,accuracy,spearman_corr,spearman_p,theta,beta,gamma
digits,2,3,0.2851138712442024,0.9472222222222222,-0.2934660444451373,5.11609313553432e-41,0.25,0.25,1.0
digits,2,4,0.28620247144952404,0.9333333333333333,0.0399665175663212,0.07394499953791901,0.25,0.25,1.0
digits,2,5,0.28511895436582,0.9388888888888889,-0.0809612384340361,0.0002896510776355116,0.25,0.25,1.0
digits,3,1,0.28780583234820223,0.8997214484679665,-0.1813505866739044,3.007336728150908e-16,0.25,0.25,1.0
digits,3,2,0.290128043008223,0.8997214484679665,-0.22407369689990597,3.5285332527671835e-24,0.25,0.25,1.0
digits,3,3,0.29172024560940785,0.8913649025069638,-0.33982778816478787,3.007433790184496e-55,0.25,0.25,1.0
digits,3,4,0.2906362674169736,0.9220055710306406,0.03477479158279406,0.12002375606084364,0.25,0.25,1.0
digits,3,5,0.284541274586878,0.8913649025069638,-0.3379690585226112,1.2533620876135332e-54,0.25,0.25,1.0
digits,4,1,0.2806840053170297,0.9303621169916435,-0.31658339857584256,8.49056966595927e-48,0.25,0.25,1.0
digits,4,2,0.2782919243351034,0.9303621169916435,-0.18025460967344123,4.555056975942636e-16,0.25,0.25,1.0
digits,4,3,0.2765913910978234,0.9052924791086351,-0.4974737112711634,1.5690434439679092e-125,0.25,0.25,1.0
digits,4,4,0.2757769281660338,0.9164345403899722,0.021298645890553882,0.341088411320272,0.25,0.25,1.0
digits,4,5,0.2865377490713706,0.9387186629526463,0.0914378405715558,4.217142741160354e-05,0.25,0.25,1.0
digits,5,1,0.27107674740845944,0.9192200557103064,-0.2619879489413003,9.548849481923934e-33,0.25,0.25,1.0
digits,5,2,0.28170028959691695,0.9136490250696379,-0.535472815911589,8.362281850420126e-149,0.25,0.25,1.0
digits,5,3,0.276291157643644,0.9052924791086351,-0.3309231656618991,2.5672100999203685e-52,0.25,0.25,1.0
digits,5,4,0.2733904128162526,0.9192200557103064,-0.12170155001521533,4.7731395190992935e-08,0.25,0.25,1.0
digits,5,5,0.270680617196275,0.9331476323119777,-0.028641577976090796,0.20042130573530137,0.25,0.25,1.0
digits,1,1,0.37265078096028204,0.9388888888888889,0.18142623921207526,2.922090606406227e-16,0.25,0.5,0.25
digits,1,2,0.3823717911089457,0.9388888888888889,-0.027857117604434527,0.21303216225369517,0.25,0.5,0.25
digits,1,3,0.36625547544971027,0.9388888888888889,0.11214941985858902,4.950832070131602e-07,0.25,0.5,0.25
digits,1,4,0.365821100213786,0.9388888888888889,0.1387078179887648,4.680494730025489e-10,0.25,0.5,0.25
digits,1,5,0.3709681255835675,0.9305555555555556,0.2657738021449093,1.1016852332441068e-33,0.25,0.5,0.25
digits,2,1,0.3819187977018602,0.9416666666666667,0.36934694140755514,1.1232798405854084e-65,0.25,0.5,0.25
digits,2,2,0.389553094252878,0.95,0.4710382178579075,5.4322077471381636e-111,0.25,0.5,0.25
digits,2,3,0.35521252817626947,0.9388888888888889,-0.012133377398639521,0.5876105756015375,0.25,0.5,0.25
digits,2,4,0.3811105689125993,0.9472222222222222,0.18257213923578883,1.8874311955119138e-16,0.25,0.5,0.25
digits,2,5,0.37785981429219817,0.9444444444444444,0.10178525794895561,5.091569473213719e-06,0.25,0.5,0.25
digits,3,1,0.36225598077545057,0.8969359331476323,-0.023777719131631046,0.2878466295099481,0.25,0.5,0.25
digits,3,2,0.35888727493739725,0.9220055710306406,0.4941140410296999,1.3032489969569084e-123,0.25,0.5,0.25
digits,3,3,0.36215357491514955,0.8969359331476323,0.1363066045437038,9.322841720841423e-10,0.25,0.5,0.25
digits,3,4,0.34904324873686454,0.9192200557103064,0.06620428227406118,0.003055042896110523,0.25,0.5,0.25
digits,3,5,0.3692521184887576,0.9025069637883009,0.19135086020862155,6.028823200791764e-18,0.25,0.5,0.25
digits,4,1,0.3772799054983351,0.9303621169916435,0.01019898641338352,0.6485055837439284,0.25,0.5,0.25
digits,4,2,0.36850237504602956,0.9526462395543176,0.13576667215071056,1.086739790043499e-09,0.25,0.5,0.25
digits,4,3,0.3796697556451428,0.9164345403899722,0.17276219150526026,7.258356897933459e-15,0.25,0.5,0.25
digits,4,4,0.36151340742883925,0.947075208913649,0.44970227968070825,3.7365385166526695e-100,0.25,0.5,0.25
digits,4,5,0.38286103207381433,0.9498607242339833,0.3928818605384167,8.249894925708817e-75,0.25,0.5,0.25
digits,5,1,0.3823689429605982,0.9303621169916435,-0.0012189161586875317,0.9565547116671276,0.25,0.5,0.25
digits,5,2,0.3739551594588305,0.9303621169916435,-0.03377738084193834,0.13102890920145902,0.25,0.5,0.25
digits,5,3,0.36634210534230927,0.9387186629526463,0.0739309688063512,0.0009371178068431057,0.25,0.5,0.25
digits,5,4,0.36821910839171057,0.935933147632312,0.13454246741879797,1.5350057308354988e-09,0.25,0.5,0.25
digits,5,5,0.36554670774231546,0.9554317548746518,0.614850186993291,2.695440157480615e-208,0.25,0.5,0.25
digits,1,1,0.36051105571616315,0.9444444444444444,0.30490382152632434,2.698436084777325e-44,0.25,0.5,0.5
digits,1,2,0.3464660297299768,0.9472222222222222,-0.14174041998266504,1.9272208849220015e-10,0.25,0.5,0.5
digits,1,3,0.3464753598954053,0.9055555555555556,-0.04797559161341546,0.031918664023821125,0.25,0.5,0.5
digits,1,4,0.3968447212347223,0.9444444444444444,-0.28144247021912766,9.913049518832482e-38,0.25,0.5,0.5
digits,1,5,0.36674578768120814,0.9333333333333333,0.15430955034621333,3.97090540129848e-12,0.25,0.5,0.5
digits,2,1,0.3484622211168424,0.9388888888888889,-0.12649312072045962,1.3770272218571817e-08,0.25,0.5,0.5
digits,2,2,0.35404701090372,0.9333333333333333,0.10914719096188867,9.942012333241107e-07,0.25,0.5,0.5
digits,2,3,0.34696140027036615,0.9444444444444444,0.014714191514512734,0.5107547940406166,0.25,0.5,0.5
digits,2,4,0.3560002845378447,0.9472222222222222,0.09655407962595733,1.5222817005654722e-05,0.25,0.5,0.5
digits,2,5,0.3551599504828482,0.9361111111111111,0.17613720013535317,2.1172298399385406e-15,0.25,0.5,0.5
digits,3,1,0.3641432925045761,0.9136490250696379,-0.2914084946353236,1.9182153746690956e-40,0.25,0.5,0.5
digits,3,2,0.3452562578177285,0.9108635097493036,0.02567218670984699,0.25114758660773384,0.25,0.5,0.5
digits,3,3,0.3508753482146597,0.9108635097493036,-0.0886865976716532,7.141151668819472e-05,0.25,0.5,0.5
digits,3,4,0.35029329182265595,0.9025069637883009,-0.02111023590262522,0.3453774787447498,0.25,0.5,0.5
digits,3,5,0.3535879724915807,0.9080779944289693,-0.2562874722669115,2.3091750180976953e-31,0.25,0.5,0.5
digits,4,1,0.35374756202247315,0.9415041782729805,0.15067229629005002,1.2635230355024696e-11,0.25,0.5,0.5
digits,4,2,0.3661176908773927,0.9442896935933147,0.16706375306553675,5.496454549893742e-14,0.25,0.5,0.5
digits,4,3,0.3527654967715947,0.9554317548746518,0.08865994573524073,7.177162880403198e-05,0.25,0.5,0.5
digits,4,4,0.3576354957085296,0.9331476323119777,-0.040457768264305284,0.0704609681920182,0.25,0.5,0.5
digits,4,5,0.3650824819680802,0.935933147632312,-0.05137318327605245,0.021586877101224387,0.25,0.5,0.5
digits,5,1,0.35032815265125716,0.9331476323119777,-0.1748553746629189,3.390361413651744e-15,0.25,0.5,0.5
digits,5,2,0.3613007474363451,0.9164345403899722,0.003717254289562408,0.8680488935848817,0.25,0.5,0.5
digits,5,3,0.35358239264870484,0.935933147632312,0.32272816716711106,1.0526531191215313e-49,0.25,0.5,0.5
digits,5,4,0.360245651452417,0.9387186629526463,0.24222621328193036,4.2704854818951625e-28,0.25,0.5,0.5
digits,5,5,0.34461419819756295,0.9387186629526463,0.023568907092267066,0.29210230065429404,0.25,0.5,0.5
digits,1,1,0.3470209710414491,0.9166666666666666,0.09540819936481659,1.9210976116383236e-05,0.25,0.5,0.75
digits,1,2,0.35291473415339114,0.9305555555555556,-0.2476601897757262,2.4678602654728864e-29,0.25,0.5,0.75
digits,1,3,0.36121690565302655,0.9138888888888889,0.19028041503020568,9.258525370527384e-18,0.25,0.5,0.75
digits,1,4,0.35466813195114655,0.9416666666666667,0.08368106041911721,0.00017927347501317024,0.25,0.5,0.75
digits,1,5,0.3591771203289295,0.9388888888888889,0.30391620207398806,5.24833637838987e-44,0.25,0.5,0.75
digits,2,1,0.3588140466230544,0.9416666666666667,-0.33096363985953375,2.4909006479710096e-52,0.25,0.5,0.75
digits,2,2,0.34827271037972274,0.9388888888888889,-0.06397476347409238,0.004207353288709592,0.25,0.5,0.75
digits,2,3,0.35612522686025405,0.9472222222222222,-0.00781613576738722,0.7268378079596418,0.25,0.5,0.75
digits,2,4,0.3533221315986878,0.9638888888888889,0.128428968942549,8.22356036805304e-09,0.25,0.5,0.75
digits,2,5,0.34518268117024925,0.925,0.15266170598867565,6.731802411351963e-12,0.25,0.5,0.75
digits,3,1,0.3340140313615121,0.9220055710306406,0.4797062665297709,1.281071095397152e-115,0.25,0.5,0.75
digits,3,2,0.34502653966937086,0.8941504178272981,-0.3224419379045727,1.294470500493405e-49,0.25,0.5,0.75
digits,3,3,0.35850909619964616,0.9080779944289693,-0.15412759175012553,4.210415933687029e-12,0.25,0.5,0.75
digits,3,4,0.35042536846982186,0.8941504178272981,-0.136270564942879,9.418904206218518e-10,0.25,0.5,0.75
digits,3,5,0.3570971035559218,0.8997214484679665,-0.47523328362310074,3.2515994304634335e-113,0.25,0.5,0.75
digits,4,1,0.34913859129310837,0.9442896935933147,-0.04211420969088715,0.05969187575973763,0.25,0.5,0.75
digits,4,2,0.3681767117766044,0.935933147632312,0.2794516847996967,3.3501562917945055e-37,0.25,0.5,0.75
digits,4,3,0.365793190260681,0.9192200557103064,-0.18635061069458933,4.376513300524266e-17,0.25,0.5,0.75
digits,4,4,0.357227282910689,0.9303621169916435,0.14630192318692625,4.893756768722791e-11,0.25,0.5,0.75
digits,4,5,0.3617836429433919,0.9303621169916435,-0.22124803538563217,1.3409659780093525e-23,0.25,0.5,0.75
digits,5,1,0.3595207139013949,0.9303621169916435,0.1520285628533632,8.23287252571383e-12,0.25,0.5,0.75
digits,5,2,0.3545785160538639,0.9387186629526463,0.18638303551557292,4.321380404274318e-17,0.25,0.5,0.75
digits,5,3,0.3478385984989352,0.9220055710306406,-0.08805956063374337,8.03534152470824e-05,0.25,0.5,0.75
digits,5,4,0.35629203594779113,0.9415041782729805,-0.2123449409372514,7.986787197681763e-22,0.25,0.5,0.75
digits,5,5,0.3522455060298798,0.9275766016713092,0.1304349421822043,4.78135287285423e-09,0.25,0.5,0.75
digits,1,1,0.3580319472408006,0.9555555555555556,-0.14906033860591558,2.091725852917551e-11,0.25,0.5,1.0
digits,1,2,0.34566980399524116,0.9333333333333333,0.18014974731465558,4.738996755807954e-16,0.25,0.5,1.0
digits,1,3,0.3467918275412486,0.9277777777777778,-0.01231508156976329,0.5820287652494855,0.25,0.5,1.0
digits,1,4,0.35127997894674245,0.9305555555555556,-0.007100125603532259,0.7509911236379013,0.25,0.5,1.0
digits,1,5,0.3578266982632259,0.9444444444444444,0.02428029879426867,0.2777759148872546,0.25,0.5,1.0
digits,2,1,0.35604399512322493,0.9333333333333333,-0.057476549463470285,0.010142058108686802,0.25,0.5,1.0
digits,2,2,0.35253812294138004,0.9416666666666667,-0.005635859449609503,0.8011278479949243,0.25,0.5,1.0
digits,2,3,0.3506227126496599,0.9416666666666667,-0.04465336972657092,0.045857033750699105,0.25,0.5,1.0
digits,2,4,0.35005572463858414,0.95,0.031543580536549175,0.15849812050552586,0.25,0.5,1.0
digits,2,5,0.3491525115389186,0.9305555555555556,-0.3401785263921222,2.2948196049368414e-55,0.25,0.5,1.0
digits,3,1,0.3297441851747128,0.8774373259052924,-0.14876820392420853,2.290480078944582e-11,0.25,0.5,1.0
digits,3,2,0.3462956778616051,0.883008356545961,-0.28421160441584936,1.7919721545445174e-38,0.25,0.5,1.0
digits,3,3,0.35294736281956485,0.9025069637883009,-0.1227207241765047,3.6785379775646704e-08,0.25,0.5,1.0
digits,3,4,0.3516881339118453,0.883008356545961,-0.2206774009233033,1.7520376725562294e-23,0.25,0.5,1.0
digits,3,5,0.34402917354066626,0.9052924791086351,0.0020652751770615083,0.9264562963678497,0.25,0.5,1.0
digits,4,1,0.3447335721028375,0.9275766016713092,0.03720211814520935,0.09625941811326136,0.25,0.5,1.0
digits,4,2,0.3623407226637655,0.9136490250696379,-0.3662607373039113,1.5601460147440853e-64,0.25,0.5,1.0
digits,4,3,0.35532847668514655,0.9275766016713092,-0.10225692654158401,4.600533690135104e-06,0.25,0.5,1.0
digits,4,4,0.342220931931695,0.9108635097493036,-0.12072751663731543,6.110342646242056e-08,0.25,0.5,1.0
digits,4,5,0.3494738102440008,0.9164345403899722,-0.27557511022349024,3.486945423880721e-36,0.25,0.5,1.0
digits,5,1,0.3503449988029863,0.924791086350975,0.024849368014515795,0.26666552333200205,0.25,0.5,1.0
digits,5,2,0.3353223520610551,0.9415041782729805,-0.09861097202791697,9.960408056002058e-06,0.25,0.5,1.0
digits,5,3,0.3472083079013611,0.9415041782729805,0.0432402166356607,0.05317997310601811,0.25,0.5,1.0
digits,5,4,0.35581014317402704,0.935933147632312,-0.30643230213433914,9.589039605821693e-45,0.25,0.5,1.0
digits,5,5,0.34946835203256077,0.9303621169916435,-0.4386526072840884,7.744973012403458e-95,0.25,0.5,1.0
digits,1,1,0.45224209262937143,0.9416666666666667,0.1572026858964596,1.5502000113601405e-12,0.25,0.75,0.25
digits,1,2,0.4431626991940417,0.9444444444444444,0.4323824091060466,6.599192935013805e-92,0.25,0.75,0.25
