Iteration,Accuracy
1,0.8361111111111111
2,0.8416666666666667
3,0.825
4,0.8222222222222222
5,0.8194444444444444
6,0.825
7,0.8222222222222222
8,0.825
9,0.825
10,0.8277777777777777
11,0.8277777777777777
12,0.8361111111111111
13,0.8333333333333334
14,0.8277777777777777
15,0.8388888888888889
16,0.8277777777777777
17,0.8333333333333334
18,0.8222222222222222
19,0.8138888888888889
20,0.8305555555555556
21,0.8277777777777777
22,0.825
23,0.8416666666666667
24,0.8194444444444444
25,0.8388888888888889
26,0.8222222222222222
27,0.8194444444444444
28,0.8305555555555556
29,0.8333333333333334
30,0.8333333333333334
31,0.8194444444444444
32,0.8138888888888889
33,0.8166666666666667
34,0.8166666666666667
35,0.8333333333333334
36,0.8138888888888889
37,0.8222222222222222
38,0.8305555555555556
39,0.825
40,0.8222222222222222
