Dataset,nTrees,Rep,K,BaggingAccuracy,BaggingPrecision,BaggingRecall,BaggingF1,SAAccuracy,SAPrecision,SARecall,SAF1
breast_cancer,10,0,1,0.956140350877193,0.9560881370091896,0.956140350877193,0.9560357083576898,0.9649122807017544,0.9652053622194477,0.9649122807017544,0.9647382344750765
breast_cancer,10,0,2,0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9473684210526315,0.9472542114780622,0.9473684210526315,0.9469748088169141
breast_cancer,10,0,3,0.9122807017543859,0.9120110667581082,0.9122807017543859,0.9118455861876914,0.9385964912280702,0.9390179995443153,0.9385964912280702,0.938731642017737
breast_cancer,10,0,4,0.9736842105263158,0.9739576213260425,0.9736842105263158,0.9737421322933159,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9649122807017544
breast_cancer,10,0,5,0.9292035398230089,0.9292793265475067,0.9292035398230089,0.9289374746948926,0.9469026548672567,0.9485526729699734,0.9469026548672567,0.9464654237643848
breast_cancer,10,1,1,0.956140350877193,0.9560881370091896,0.956140350877193,0.9560357083576898,0.9649122807017544,0.9652053622194477,0.9649122807017544,0.9647382344750765
breast_cancer,10,1,2,0.9649122807017544,0.9683354728284125,0.9649122807017544,0.9653441295546559,0.9649122807017544,0.9650772500872435,0.9649122807017544,0.9646498725446093
breast_cancer,10,1,3,0.9122807017543859,0.9122807017543859,0.9122807017543859,0.9122807017543859,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315
breast_cancer,10,1,4,0.9736842105263158,0.9737190197716513,0.9736842105263158,0.973621425014614,0.956140350877193,0.9560881370091896,0.956140350877193,0.9560357083576898
breast_cancer,10,1,5,0.9380530973451328,0.9387146091200425,0.9380530973451328,0.9376872991829782,0.9026548672566371,0.9024524263982879,0.9026548672566371,0.9024805414185946
breast_cancer,10,2,1,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.956140350877193,0.9560881370091896,0.956140350877193,0.9560357083576898
