Iteration,Accuracy
1,0.9055555555555556
2,0.8916666666666667
3,0.9111111111111111
4,0.8944444444444445
5,0.8805555555555555
6,0.8777777777777778
7,0.8777777777777778
8,0.875
9,0.8777777777777778
10,0.8555555555555555
11,0.8388888888888889
12,0.8916666666666667
13,0.8611111111111112
14,0.9111111111111111
15,0.9194444444444444
16,0.8722222222222222
17,0.8888888888888888
18,0.8694444444444445
19,0.8861111111111111
20,0.8694444444444445
21,0.9111111111111111
22,0.925
23,0.8861111111111111
24,0.8666666666666667
25,0.9
26,0.9027777777777778
27,0.8666666666666667
28,0.875
29,0.8972222222222223
30,0.875
31,0.8555555555555555
32,0.8916666666666667
33,0.9027777777777778
34,0.8833333333333333
35,0.8805555555555555
36,0.8666666666666667
37,0.8805555555555555
38,0.8944444444444445
39,0.8944444444444445
40,0.8777777777777778
