Iteration,Accuracy
1,0.8194444444444444
2,0.8166666666666667
3,0.8305555555555556
4,0.8222222222222222
5,0.8277777777777777
6,0.8305555555555556
7,0.8138888888888889
8,0.8361111111111111
9,0.825
10,0.8194444444444444
11,0.8305555555555556
12,0.8361111111111111
13,0.8138888888888889
14,0.8166666666666667
15,0.825
16,0.8444444444444444
17,0.8222222222222222
18,0.8388888888888889
19,0.825
20,0.8333333333333334
21,0.8166666666666667
22,0.8361111111111111
23,0.8305555555555556
24,0.8055555555555556
25,0.825
26,0.8361111111111111
27,0.8305555555555556
28,0.8111111111111111
29,0.8305555555555556
30,0.8333333333333334
31,0.8055555555555556
32,0.8222222222222222
33,0.825
34,0.8194444444444444
35,0.8305555555555556
36,0.8388888888888889
37,0.8277777777777777
38,0.8194444444444444
39,0.8361111111111111
40,0.8166666666666667
