dataset,k_cross,rep,fitness,accuracy,spearman_corr,spearman_p,theta,beta,gamma
digits,3,1,0.28065993417003715,0.8969359331476323,0.1256640745604185,1.7131876617013187e-08,0.25,0.25,0.75
digits,3,2,0.2762096538231857,0.8885793871866295,-0.38109351205676784,3.8508802711669724e-70,0.25,0.25,0.75
digits,3,3,0.2836060503160943,0.9164345403899722,-0.09648717831067401,1.5432131012565875e-05,0.25,0.25,0.75
digits,3,4,0.2908146803791087,0.9080779944289693,-0.4806931227679104,3.734604369240328e-116,0.25,0.25,0.75
digits,3,5,0.2831091010613724,0.8690807799442897,-0.12370768807005877,2.8526396886348842e-08,0.25,0.25,0.75
digits,4,1,0.28833724999707755,0.9303621169916435,0.04846337680223329,0.030214531174706755,0.25,0.25,0.75
digits,4,2,0.2798997037558828,0.9164345403899722,-0.46995599182482817,2.011009435319543e-110,0.25,0.25,0.75
digits,4,3,0.2861124778345475,0.9275766016713092,-0.44798788341314,2.572088337208647e-99,0.25,0.25,0.75
digits,4,4,0.2734809946756641,0.9164345403899722,-0.05705884672058666,0.010703482196204333,0.25,0.25,0.75
digits,4,5,0.28931107340761875,0.9192200557103064,-0.176216746684833,2.0560221622136354e-15,0.25,0.25,0.75
digits,5,1,0.27551308304790095,0.9220055710306406,0.058465302834501236,0.008916206611026647,0.25,0.25,0.75
digits,5,2,0.27782147385432504,0.9192200557103064,-0.22032718351882274,2.063729835291172e-23,0.25,0.25,0.75
digits,5,3,0.2817535037305908,0.9387186629526463,-0.3154878403702858,1.8373839558835789e-47,0.25,0.25,0.75
digits,5,4,0.2907446267728709,0.8997214484679665,0.06681558455107321,0.002793825242015305,0.25,0.25,0.75
digits,5,5,0.2845335921220676,0.9108635097493036,-0.42670675081629644,2.6261580864610804e-89,0.25,0.25,0.75
digits,1,1,0.27520535852103,0.9444444444444444,-0.3663360591096625,1.4636119886486877e-64,0.25,0.25,1.0
digits,1,2,0.28149168243236833,0.9166666666666666,0.10123822103556693,5.723908418033118e-06,0.25,0.25,1.0
digits,1,3,0.2820461114472004,0.9361111111111111,-0.2536616042428346,9.754938887500464e-31,0.25,0.25,1.0
digits,1,4,0.27399330573949787,0.9333333333333333,-0.472682906452091,7.3651421637738645e-112,0.25,0.25,1.0
digits,1,5,0.2821935554751749,0.9222222222222223,-0.1420626234293647,1.7518657204070753e-10,0.25,0.25,1.0
digits,2,1,0.276523642914545,0.9444444444444444,0.06254685800908788,0.005139278225154127,0.25,0.25,1.0
digits,2,2,0.27584852548586236,0.9444444444444444,0.10373796624623027,3.3362907911391263e-06,0.25,0.25,1.0
digits,2,3,0.2893181162885529,0.9388888888888889,0.1904659535985051,8.596619860128378e-18,0.25,0.25,1.0
digits,2,4,0.2852605733035695,0.9333333333333333,-0.21290112993468732,6.219934520227202e-22,0.25,0.25,1.0
digits,2,5,0.2793763373552015,0.9472222222222222,-0.21454098421619003,2.963847658806906e-22,0.25,0.25,1.0
digits,3,1,0.2861658615015106,0.8885793871866295,-0.3047122760347196,3.0706664947272524e-44,0.25,0.25,1.0
digits,3,2,0.2907684511180082,0.9052924791086351,-0.0406925368910646,0.06884410839395286,0.25,0.25,1.0
digits,3,3,0.28883138332758557,0.8885793871866295,-0.5424231662496061,2.165863687306063e-153,0.25,0.25,1.0
digits,3,4,0.2924313415112618,0.9052924791086351,0.11115579651644301,6.248300093547612e-07,0.25,0.25,1.0
digits,3,5,0.28524816691313215,0.8941504178272981,-0.41443012057751977,7.501723130497487e-84,0.25,0.25,1.0
digits,4,1,0.2784502789723558,0.9331476323119777,-0.15380162391804028,4.6753624164236575e-12,0.25,0.25,1.0
digits,4,2,0.27649417837986456,0.9415041782729805,-0.21470827003426296,2.747044226992461e-22,0.25,0.25,1.0
digits,4,3,0.2686340663793347,0.9108635097493036,0.04592728318539862,0.040001814612716985,0.25,0.25,1.0
digits,4,4,0.275791910331384,0.9220055710306406,0.000328468871931584,0.9882871631549314,0.25,0.25,1.0
digits,4,5,0.29331192864824895,0.9387186629526463,-0.20699793419797896,8.526372186093761e-21,0.25,0.25,1.0
digits,5,1,0.2719415279080732,0.8997214484679665,-0.5629133763651355,1.4743514666936905e-167,0.25,0.25,1.0
digits,5,2,0.2830696783065582,0.9108635097493036,0.07924918454263447,0.0003889116868821273,0.25,0.25,1.0
digits,5,3,0.28283011544300946,0.9136490250696379,-0.05033672147292789,0.02437626921128051,0.25,0.25,1.0
digits,5,4,0.2751213303618658,0.924791086350975,-0.33426243441201103,2.096857769188302e-53,0.25,0.25,1.0
digits,5,5,0.273821931072719,0.9303621169916435,-0.13019705852798355,5.101132140119443e-09,0.25,0.25,1.0
digits,1,1,0.3745875752514358,0.9611111111111111,0.532984533058374,3.4553810552003354e-147,0.25,0.5,0.25
digits,1,2,0.38051763594461596,0.95,0.1119850643078723,5.145859681260818e-07,0.25,0.5,0.25
digits,1,3,0.3704106532894876,0.9388888888888889,-0.08372556958976231,0.0001778503007040299,0.25,0.5,0.25
digits,1,4,0.37539116551203255,0.9638888888888889,0.4956383996236982,1.76526996931274e-124,0.25,0.5,0.25
digits,1,5,0.36951733826000266,0.9416666666666667,0.17593654708451123,2.2797030115713145e-15,0.25,0.5,0.25
digits,2,1,0.3703876652608906,0.9527777777777777,0.024677956067218183,0.2699795012837345,0.25,0.5,0.25
digits,2,2,0.3723307930015063,0.9555555555555556,-0.07826048324030267,0.0004598753406506609,0.25,0.5,0.25
digits,2,3,0.3619775399888639,0.9555555555555556,0.49422705823654256,1.124107830206772e-123,0.25,0.5,0.25
digits,2,4,0.36640998232714156,0.9638888888888889,0.06087116287172044,0.0064679419063604976,0.25,0.5,0.25
digits,2,5,0.379000348040416,0.9305555555555556,-0.08658244863359912,0.00010577572573668265,0.25,0.5,0.25
digits,3,1,0.36504633924205054,0.9192200557103064,0.11857192706717042,1.0482588364363347e-07,0.25,0.5,0.25
digits,3,2,0.3643240666323149,0.9080779944289693,0.4684763832396425,1.1947421795350255e-109,0.25,0.5,0.25
digits,3,3,0.3598923207423457,0.9303621169916435,0.37308469235276626,4.4641776814227406e-67,0.25,0.5,0.25
digits,3,4,0.3549536816067478,0.9052924791086351,0.05022979102586913,0.02468107429507885,0.25,0.5,0.25
digits,3,5,0.37591036354081736,0.8997214484679665,0.4888238839495659,1.2422638600803134e-120,0.25,0.5,0.25
digits,4,1,0.380243926115037,0.9387186629526463,-0.03667001309545485,0.10111770947104011,0.25,0.5,0.25
digits,4,2,0.37468028362311284,0.947075208913649,0.26235691979530307,7.748455301131634e-33,0.25,0.5,0.25
digits,4,3,0.3754242761264348,0.9554317548746518,0.24414043668101404,1.576865418589782e-28,0.25,0.5,0.25
