TreesAmount,DecisionTree,Bagging,BaggingGA,BaggingSA
5,0.85,0.7361111111111112,0.8416666666666667,0.8027777777777778
5,0.8583333333333333,0.7972222222222223,0.8805555555555555,0.7888888888888889
5,0.8527777777777777,0.7527777777777778,0.8361111111111111,0.8333333333333334
5,0.8527777777777777,0.7777777777777778,0.8222222222222222,0.8416666666666667
5,0.8555555555555555,0.7805555555555556,0.8222222222222222,0.8027777777777778
10,0.85,0.8388888888888889,0.9055555555555556,0.8694444444444445
10,0.8583333333333333,0.8583333333333333,0.9055555555555556,0.8833333333333333
10,0.8611111111111112,0.8916666666666667,0.8888888888888888,0.9166666666666666
10,0.8555555555555555,0.8361111111111111,0.9,0.9194444444444444
10,0.8527777777777777,0.8305555555555556,0.9194444444444444,0.9083333333333333
15,0.8666666666666667,0.8777777777777778,0.95,0.9138888888888889
15,0.8611111111111112,0.875,0.9166666666666666,0.9305555555555556
15,0.8583333333333333,0.8861111111111111,0.925,0.9416666666666667
15,0.8472222222222222,0.9,0.9305555555555556,0.9138888888888889
15,0.8388888888888889,0.8972222222222223,0.9166666666666666,0.9277777777777778
20,0.8444444444444444,0.9,0.9277777777777778,0.9333333333333333
20,0.8361111111111111,0.8916666666666667,0.9277777777777778,0.925
20,0.8583333333333333,0.9027777777777778,0.9388888888888889,0.9083333333333333
20,0.8361111111111111,0.9166666666666666,0.9222222222222223,0.9194444444444444
20,0.8527777777777777,0.9222222222222223,0.9222222222222223,0.9194444444444444
25,0.85,0.9111111111111111,0.9444444444444444,0.9138888888888889
25,0.8361111111111111,0.9083333333333333,0.9277777777777778,0.9333333333333333
25,0.8527777777777777,0.9277777777777778,0.9333333333333333,0.9333333333333333
25,0.8444444444444444,0.9,0.9194444444444444,0.9166666666666666
25,0.8555555555555555,0.9277777777777778,0.9444444444444444,0.9222222222222223
