fitness_accuracy_disagreement_ratio,rep,accuracy,correlation,best_fitness
0.0,0,0.8166666666666667,-0.009898389579273706,0.9999999948527147
0.0,1,0.85,-0.0659970599189557,0.9999999926381639
0.0,2,0.8055555555555556,-0.06351456656301854,0.9999999998927789
0.1,0,0.9166666666666666,0.22949206870770772,0.9912558386723571
0.1,1,0.8555555555555555,0.21644860742411468,0.9913464298126438
0.1,2,0.9111111111111111,0.12462449740517333,0.989810532451556
0.2,0,0.875,0.2948748158273002,0.976500044966989
0.2,1,0.9111111111111111,0.6031996300845183,0.9847491529305468
0.2,2,0.8777777777777778,0.2862992314151678,0.9832320678361779
0.3,0,0.875,0.5944443629608308,0.9802880461321096
0.3,1,0.875,0.5386517593581194,0.9728105470962252
0.3,2,0.8972222222222223,0.5744323995649662,0.9747456864071229
0.4,0,0.9138888888888889,0.57661662850407,0.9688985415704126
0.4,1,0.8888888888888888,0.5730233514624826,0.966475110757038
0.4,2,0.9055555555555556,0.5526900567233324,0.962939594057132
0.5,0,0.8833333333333333,0.7118577127260609,0.9524769955806287
0.5,1,0.8916666666666667,0.7727714138406006,0.953440758438999
0.5,2,0.8611111111111112,0.530806310428673,0.9632391662061042
0.6,0,0.8805555555555555,0.5490219645876611,0.9429957853564194
0.6,1,0.8805555555555555,0.6159968557200651,0.9551260382457737
0.6,2,0.8527777777777777,0.6311763547749925,0.9502295781827272
0.7,0,0.8916666666666667,0.840639734980732,0.9546511756180247
0.7,1,0.8722222222222222,0.420429396554198,0.9561124421434961
0.7,2,0.875,0.728955241294402,0.9607627122195479
0.8,0,0.8972222222222223,0.8009487097518619,0.9324467163363984
0.8,1,0.9111111111111111,0.8441733735428113,0.963552816289707
0.8,2,0.9,0.7787167621659585,0.9579465210998556
0.9,0,0.9027777777777778,0.788757860128559,0.9474208942895599
0.9,1,0.8861111111111111,0.7138227094707766,0.9357905028228755
0.9,2,0.8805555555555555,0.8222701410642608,0.9598595784410863
1.0,0,0.9,0.8896092805598343,0.9197619047619048
1.0,1,0.8888888888888888,0.8127952707240079,0.9380952380952381
1.0,2,0.9083333333333333,0.8673572055309737,0.9759523809523809
