dataset,fold,rep,beta,gamma,delta,fitness,spearman_corr,spearman_p,accuracy,precision,recall,f1
pima,1,3,0.25,0.5,0.05,0.38530819865918076,0.17378412100182103,5.011299038832667e-15,0.7135416666666666,0.6875,0.6809826793920113,0.6836713297187191
pima,2,1,0.25,0.5,0.05,0.37992573953258685,-0.1873338775836875,2.9766219378002975e-17,0.796875,0.7664693772516726,0.7591665623826804,0.7625495481211353
pima,2,2,0.25,0.5,0.05,0.3955280169080946,-0.25199120516071577,2.4184177285541984e-30,0.7708333333333334,0.7404255319148936,0.7050431735702666,0.71658615136876
pima,2,3,0.25,0.5,0.05,0.39409458494201777,-0.07779268132935031,0.0004975031131903622,0.7760416666666666,0.7465277777777778,0.713239894881742,0.7245704753961635
pima,3,1,0.25,0.5,0.05,0.4131814410257015,-0.2499056410397003,7.442955309953007e-30,0.7604166666666666,0.7550990462215701,0.704842700600919,0.7159032424086464
pima,3,2,0.25,0.5,0.05,0.38549610175876203,0.15903549460480543,8.464905210382206e-13,0.7760416666666666,0.7708450704225351,0.7265818310357017,0.7381956556207389
pima,3,3,0.25,0.5,0.05,0.39145993982453353,0.031138602022830045,0.1639140531762927,0.75,0.7382617382617382,0.6967126193001061,0.706384605581751
pima,4,1,0.25,0.5,0.05,0.39536997806137475,-0.025370819954412843,0.2567564788277838,0.71875,0.6948554364055926,0.6691410392364794,0.6756350894756601
pima,4,2,0.25,0.5,0.05,0.38663108632142207,-0.22476280572056426,2.540840506115689e-24,0.7395833333333334,0.722569879015436,0.688582537999293,0.696969696969697
pima,4,3,0.25,0.5,0.05,0.3779711298157038,0.3290735550764653,1.0144437446978614e-51,0.7291666666666666,0.7068347710683477,0.6836337928596677,0.6903225806451614
pima,1,1,0.25,0.75,0.01,0.4895841058058818,-0.5108084215248253,2.3035498514981936e-133,0.6979166666666666,0.6686131386861314,0.6496995404736656,0.6545905707196029
pima,1,2,0.25,0.75,0.01,0.5181156073967272,-0.48459742124709476,2.7354949449448636e-118,0.6822916666666666,0.6533189033189033,0.6502297631671969,0.6515841142347166
pima,1,3,0.25,0.75,0.01,0.510051576902339,-0.2280600771477696,5.199712718480406e-25,0.7291666666666666,0.705492544921626,0.6899964651820432,0.6953125
pima,2,1,0.25,0.75,0.01,0.5332934333355144,-0.37073971668814015,3.393902169963161e-66,0.765625,0.7342167957117332,0.6968464522587912,0.7084921893451196
pima,2,2,0.25,0.75,0.01,0.5028241079012404,-0.4816963368155906,1.0622845320913299e-116,0.71875,0.6714908456843941,0.6230759604555125,0.6300842015127729
pima,2,3,0.25,0.75,0.01,0.49997051225896505,-0.38502744217105356,1.1185573158806615e-71,0.78125,0.7496945839554772,0.7301964710299087,0.7380116959064327
pima,3,1,0.25,0.75,0.01,0.5125704236831399,-0.052871265845671894,0.018047087924551408,0.7552083333333334,0.7625,0.6880523153057618,0.6989491242702253
pima,3,2,0.25,0.75,0.01,0.5035282045389433,-0.2482395403763184,1.8134622409536934e-29,0.734375,0.713768115942029,0.6876988335100742,0.6949817774039809
pima,3,3,0.25,0.75,0.01,0.49366936406890505,-0.5614592459441142,1.6101686535707658e-166,0.6822916666666666,0.6491758241758241,0.627960410038883,0.6319643025484712
pima,4,1,0.25,0.75,0.01,0.47643095441983824,0.09680202500351644,1.4470414375265233e-05,0.734375,0.7151098901098901,0.6845174973488866,0.6922980234421645
pima,4,2,0.25,0.75,0.01,0.5053119612743717,0.41734702306911114,3.975086356282027e-85,0.7447916666666666,0.7326388888888888,0.6894662424885118,0.6988379909728224
pima,4,3,0.25,0.75,0.01,0.5053663227111795,-0.2712996018509048,4.4214863341566733e-35,0.703125,0.6748584662892434,0.6601272534464475,0.6646956095468611
pima,1,1,0.25,0.75,0.05,0.4969977034951814,-0.2173878349007886,8.065967232300284e-23,0.734375,0.7110421836228288,0.700424178154825,0.7045529976163896
pima,1,2,0.25,0.75,0.05,0.48931304400748654,0.10764089757572302,1.401004038726644e-06,0.703125,0.67578125,0.6696712619300106,0.672168468981218
pima,1,3,0.25,0.75,0.05,0.4881733382868782,-0.27061014284226564,6.631372897782902e-35,0.703125,0.6764069264069263,0.6728525980911984,0.6744310575635877
pima,2,1,0.25,0.75,0.05,0.474077272521955,-0.34975462500107407,1.2446415917105168e-58,0.78125,0.7545121056493029,0.7170566887748717,0.7294685990338164
pima,2,2,0.25,0.75,0.05,0.49116474927513687,-0.14680468326381058,4.196402333837674e-11,0.734375,0.6909340659340659,0.6739456889000125,0.6802403422264311
pima,2,3,0.25,0.75,0.05,0.5043253305923117,-0.2974914342627337,3.734843374347344e-42,0.765625,0.7295454545454545,0.7275059441872107,0.7284982559783804
pima,3,1,0.25,0.75,0.05,0.4889509349972945,-0.21887519352380252,4.056643409513048e-23,0.7135416666666666,0.6966666666666667,0.6459879816189467,0.6515196515196515
pima,3,2,0.25,0.75,0.05,0.4910073534632987,-0.42031991830315985,1.9318915975526093e-86,0.7135416666666666,0.6944103194103194,0.6491693177801343,0.6551611533814453
pima,3,3,0.25,0.75,0.05,0.49989110107644597,-0.11826734064156284,1.1304727768024273e-07,0.703125,0.6796683046683047,0.6378579003181336,0.6426215589589523
pima,4,1,0.25,0.75,0.05,0.49454588509620423,-0.23640780361785935,8.366194441737662e-27,0.6979166666666666,0.6686131386861314,0.6496995404736656,0.6545905707196029
pima,4,2,0.25,0.75,0.05,0.4902431714986256,-0.0036916726713371066,0.8689487298389513,0.7239583333333334,0.7032394366197183,0.6700247437256981,0.6773109243697479
pima,4,3,0.25,0.75,0.05,0.4777665995528972,-0.2884917076746024,1.2258209320542832e-39,0.7552083333333334,0.7414835164835165,0.707140332272888,0.7164315117996418
pima,1,1,0.5,0.25,0.01,0.5000948673275726,0.10332621455137081,3.6496350661018897e-06,0.7239583333333334,0.6999525616698292,0.6986567691763874,0.6992818936729809
pima,1,2,0.5,0.25,0.01,0.4615907636468838,0.21802111691453485,6.023311455462825e-23,0.734375,0.7185144124168514,0.732237539766702,0.7216837677287327
pima,1,3,0.5,0.25,0.01,0.49724088280138046,-0.0186116714156977,0.405470507129684,0.71875,0.6939701492537313,0.6914103923647932,0.6925996204933587
