dataset,fold,rep,beta,gamma,delta,fitness,spearman_corr,spearman_p,accuracy,precision,recall,f1
pima,2,2,0.75,0.25,0.05,0.6588906306555851,0.09062547318917269,4.934359333874452e-05,0.78125,0.7487723954877239,0.7345763984482543,0.7406073082861555
pima,2,3,0.75,0.25,0.05,0.7074127628336037,0.10718049458880988,1.5544535456224733e-06,0.7604166666666666,0.724238631622862,0.7017895132023526,0.7100840336134454
pima,3,1,0.75,0.25,0.05,0.6791717203985824,0.2114833190863942,1.1748625457250913e-21,0.734375,0.7127100840336134,0.690880169671262,0.6975444015444014
pima,3,2,0.75,0.25,0.05,0.7132082852114613,0.060397567322609966,0.006895706298621446,0.7135416666666666,0.6897183098591549,0.6587133262636974,0.6651339781195498
pima,3,3,0.75,0.25,0.05,0.7135147730662483,0.12210512192304819,4.306427368242748e-08,0.734375,0.7151098901098901,0.6845174973488866,0.6922980234421645
pima,4,1,0.75,0.25,0.05,0.6987490142125581,0.08909758459142382,6.607013471550075e-05,0.703125,0.6748949579831933,0.6569459172852599,0.66196138996139
pima,4,2,0.75,0.25,0.05,0.6909879272122575,0.2653823739913196,1.3795501481919323e-33,0.7447916666666666,0.7253151260504203,0.7021915871332627,0.7094054054054054
pima,4,3,0.75,0.25,0.05,0.6845605407901235,-0.17199491970863942,9.571753010038113e-15,0.75,0.7323158593231587,0.7062566277836692,0.7141439205955336
pima,1,1,0.75,0.5,0.01,0.7869704295893946,-0.22060915534530626,1.8088804292996824e-23,0.7083333333333334,0.681024595386772,0.6673736302580418,0.671875
pima,1,2,0.75,0.5,0.01,0.7838083188344745,-0.18965423148984326,1.1885560935452062e-17,0.6822916666666666,0.6556206088992974,0.6565924354895722,0.656085743649978
pima,1,3,0.75,0.5,0.01,0.7769388428575268,-0.25484196721061847,5.114814432595782e-31,0.7135416666666666,0.6875,0.6809826793920113,0.6836713297187191
pima,2,1,0.75,0.5,0.01,0.7987363586614903,-0.1912074516625113,6.386401758870953e-18,0.7708333333333334,0.7355677328915509,0.7313227380803404,0.7333333333333334
pima,2,2,0.75,0.5,0.01,0.7913219322816847,-0.19470693791584523,1.5452128848205975e-18,0.7864583333333334,0.7584507042253521,0.7296333375046928,0.7402237402237402
pima,2,3,0.75,0.5,0.01,0.7996435063741164,0.04166876903478263,0.062444236595431205,0.78125,0.7509386733416771,0.725816543611563,0.7352941176470589
pima,3,1,0.75,0.5,0.01,0.7944539810856552,-0.1506675553058596,1.2654078226800377e-11,0.7604166666666666,0.7587301587301587,0.7016613644397314,0.7130604288499025
pima,3,2,0.75,0.5,0.01,0.8167456433529633,0.22075112777078126,1.6926146470427253e-23,0.734375,0.713768115942029,0.6876988335100742,0.6949817774039809
pima,3,3,0.75,0.5,0.01,0.8298765789613076,0.3992616570951399,2.0365467195732683e-77,0.7447916666666666,0.7326388888888888,0.6894662424885118,0.6988379909728224
pima,4,1,0.75,0.5,0.01,0.7691476094121641,-0.14387049329195448,1.0216330477440405e-10,0.7291666666666666,0.7068347710683477,0.6836337928596677,0.6903225806451614
pima,4,2,0.75,0.5,0.01,0.8193552449027788,-0.012404811171151458,0.5792815023919401,0.7239583333333334,0.7001050420168067,0.6795687522092613,0.6856833976833976
pima,4,3,0.75,0.5,0.01,0.7682378838733596,-0.02458792517904731,0.27173136496126654,0.734375,0.71875,0.6781548250265111,0.686545664073754
pima,1,1,0.75,0.5,0.05,0.7972243174856417,-0.09158326372854728,4.0996639424244515e-05,0.703125,0.6791666666666667,0.6823966065747614,0.6805883898082479
pima,1,2,0.75,0.5,0.05,0.7848307444574927,-0.009445472361117233,0.6729084566782585,0.703125,0.675,0.6633085896076352,0.6673050615595075
pima,1,3,0.75,0.5,0.05,0.8114289507510389,-0.027092682492476428,0.22586228969665362,0.7291666666666666,0.7051483949121744,0.6995404736656062,0.7019701492537314
pima,2,1,0.75,0.5,0.05,0.7584538671156069,-0.08381046881163674,0.00017516504910233274,0.8020833333333334,0.7859410430839002,0.7367037917657364,0.7524093932401248
pima,2,2,0.75,0.5,0.05,0.7511369371527372,-0.0700779964812222,0.0017133948154249062,0.7552083333333334,0.7169887278582932,0.7023526467275685,0.7082915791175044
pima,2,3,0.75,0.5,0.05,0.7626336241067434,-0.3452133654265249,4.5498663815236644e-57,0.7552083333333334,0.7214373464373465,0.6804530096358403,0.6919610855094727
pima,3,1,0.75,0.5,0.05,0.791786371216952,0.019908689424574296,0.3735328889879097,0.7395833333333334,0.7297052154195012,0.67903852951573,0.6881091617933723
pima,3,2,0.75,0.5,0.05,0.79019495683936,-0.0948540165650775,2.147926975069724e-05,0.7708333333333334,0.7732426303854876,0.7129727819017321,0.7255360623781677
pima,3,3,0.75,0.5,0.05,0.8020436739606431,-0.02797478434844865,0.21110491755587218,0.7291666666666666,0.7092198581560283,0.6772711205372923,0.6848484848484848
pima,4,1,0.75,0.5,0.05,0.7601755043202412,-0.00444606786175854,0.8424889171502764,0.7395833333333334,0.7245611531325817,0.6854012018381054,0.6941506308143239
pima,4,2,0.75,0.5,0.05,0.8209474847107627,0.1336510439416696,1.9700573697064388e-09,0.734375,0.71875,0.6781548250265111,0.686545664073754
pima,4,3,0.75,0.5,0.05,0.7653796824372382,0.01849578916471574,0.4084012088776239,0.7552083333333334,0.734863523573201,0.7230470130788265,0.7277253115288296
pima,1,1,0.75,0.75,0.01,0.9084362898077936,-0.1393297014751208,3.9078951112929504e-10,0.703125,0.67578125,0.6696712619300106,0.672168468981218
pima,1,2,0.75,0.75,0.01,0.8437636680070222,-0.3893826641307901,2.1009681731353035e-73,0.6822916666666666,0.6514888337468983,0.6438670908448215,0.6466222128352894
pima,1,3,0.75,0.75,0.01,0.8871063375291941,-0.38213892497499996,1.5107662839309623e-70,0.7083333333333334,0.6825074626865671,0.6800989749027926,0.6812144212523719
pima,2,1,0.75,0.75,0.01,0.9386679935225123,-0.25696047139047484,1.5918697826240186e-31,0.7291666666666666,0.6850696748506968,0.6745088224252285,0.6788471435923829
pima,2,2,0.75,0.75,0.01,0.9166796443121308,0.03899573734051172,0.0812436507892808,0.796875,0.7659090909090909,0.7635464898010261,0.7646984885145963
pima,2,3,0.75,0.75,0.01,0.9028491045403476,-0.28442539638625963,1.569009418238402e-38,0.796875,0.7719718309859155,0.741646852709298,0.752895752895753
pima,3,1,0.75,0.75,0.01,0.8937578514795224,0.11286422507739206,4.1824080884395376e-07,0.7552083333333334,0.7395330112721417,0.7103216684340756,0.7189047752546491
pima,3,2,0.75,0.75,0.01,0.9273757690629141,-0.026213527441516057,0.24128819384717431,0.71875,0.6971599828742685,0.662778366914104,0.6696826812794698
pima,3,3,0.75,0.75,0.01,0.9348167563304814,-0.01876292767499102,0.40166413505802023,0.734375,0.7167605633802817,0.6813361611876988,0.6894878706199461
pima,4,1,0.75,0.75,0.01,0.8300444326840852,-0.007370393053774748,0.7418439937197954,0.7395833333333334,0.7245611531325817,0.6854012018381054,0.6941506308143239
pima,4,2,0.75,0.75,0.01,0.8761297434127917,-0.12160574189113628,4.8909331113323924e-08,0.71875,0.6940942269409422,0.672322375397667,0.6784119106699752
pima,4,3,0.75,0.75,0.01,0.9314404888965804,0.2510163531044872,4.095450468422741e-30,0.7552083333333334,0.7414835164835165,0.707140332272888,0.7164315117996418
pima,1,1,0.75,0.75,0.05,0.9281640498208303,-0.25302555372256524,1.379469812840671e-30,0.6875,0.6678615436316792,0.6765641569459173,0.6701786532295007
pima,1,2,0.75,0.75,0.05,0.8447347804116203,0.07336231402396283,0.001026226959011388,0.7135416666666666,0.6885673624288424,0.6873453517143867,0.6879340406040368
pima,1,3,0.75,0.75,0.05,0.856063180176305,0.10765683792765489,1.3959609950727927e-06,0.7395833333333334,0.7167777104784979,0.7108518911276069,0.7134328358208956
pima,2,1,0.75,0.75,0.05,0.8883147699014196,-0.027520235400128438,0.21862001241239218,0.7708333333333334,0.7448103636647416,0.6962833187335753,0.7098901098901098
pima,2,2,0.75,0.75,0.05,0.8792113984019609,-0.24865330363262253,1.4545494112713238e-29,0.7760416666666666,0.7421218487394958,0.7307596045551246,0.7357149716700279
pima,2,3,0.75,0.75,0.05,0.9251874944439936,-0.25005926077273105,6.853920802915992e-30,0.7760416666666666,0.7449295774647888,0.7176198223000876,0.7275517275517276
pima,3,1,0.75,0.75,0.05,0.8387658308916449,0.14468494224462233,7.995001780090889e-11,0.7447916666666666,0.7302816901408451,0.6926475786496995,0.7016648168701443
pima,3,2,0.75,0.75,0.05,0.9561355810215905,0.19492156782479939,1.4151694624608818e-18,0.7291666666666666,0.7050572166851237,0.6963591375044185,0.6998556998556998
pima,3,3,0.75,0.75,0.05,0.8700189461234242,-0.21663121126058507,1.1419738866649498e-22,0.71875,0.7088989441930618,0.6468716861081655,0.6521739130434783
pima,4,1,0.75,0.75,0.05,0.9133317676505197,-0.1262476523087341,1.4692423320152247e-08,0.7552083333333334,0.7395330112721417,0.7103216684340756,0.7189047752546491
pima,4,2,0.75,0.75,0.05,0.8395703976772305,-0.06032948005706314,0.006959249392379665,0.7604166666666666,0.7550990462215701,0.704842700600919,0.7159032424086464
pima,4,3,0.75,0.75,0.05,0.8775194564384674,-0.13678134665552408,8.143166615027293e-10,0.7239583333333334,0.7001050420168067,0.6795687522092613,0.6856833976833976
