Dataset,nTrees,Rep,K,DT,Bagging,RF,BaggingCustom,BaggingSA
breast_cancer,10,0,1,0.9473684210526315,0.9385964912280702,0.9385964912280702,0.9473684210526315,0.9385964912280702
breast_cancer,10,0,2,0.8771929824561403,0.956140350877193,0.9385964912280702,0.9298245614035088,0.956140350877193
breast_cancer,10,0,3,0.9298245614035088,0.9649122807017544,0.9736842105263158,0.9473684210526315,0.9649122807017544
breast_cancer,10,0,4,0.9122807017543859,0.9473684210526315,0.9298245614035088,0.9473684210526315,0.9298245614035088
breast_cancer,10,0,5,0.9646017699115044,0.9557522123893806,0.9469026548672567,0.9734513274336283,0.9380530973451328
breast_cancer,10,1,1,0.9473684210526315,0.9385964912280702,0.9385964912280702,0.9385964912280702,0.9385964912280702
breast_cancer,10,1,2,0.8596491228070176,0.956140350877193,0.9385964912280702,0.956140350877193,0.956140350877193
breast_cancer,10,1,3,0.9385964912280702,0.9649122807017544,0.9736842105263158,0.9649122807017544,0.956140350877193
breast_cancer,10,1,4,0.9035087719298246,0.9473684210526315,0.9298245614035088,0.9122807017543859,0.9473684210526315
breast_cancer,10,1,5,0.9292035398230089,0.9557522123893806,0.9469026548672567,0.9646017699115044,0.9557522123893806
breast_cancer,10,2,1,0.9473684210526315,0.9385964912280702,0.9385964912280702,0.9210526315789473,0.9473684210526315
breast_cancer,10,2,2,0.9210526315789473,0.956140350877193,0.9385964912280702,0.9649122807017544,0.9385964912280702
breast_cancer,10,2,3,0.9210526315789473,0.9649122807017544,0.9736842105263158,0.956140350877193,0.9298245614035088
breast_cancer,10,2,4,0.8771929824561403,0.9473684210526315,0.9298245614035088,0.9385964912280702,0.9298245614035088
breast_cancer,10,2,5,0.9646017699115044,0.9557522123893806,0.9469026548672567,0.9469026548672567,0.9292035398230089
breast_cancer,10,3,1,0.9473684210526315,0.9385964912280702,0.9385964912280702,0.9385964912280702,0.956140350877193
breast_cancer,10,3,2,0.8947368421052632,0.956140350877193,0.9385964912280702,0.9473684210526315,0.9385964912280702
breast_cancer,10,3,3,0.9210526315789473,0.9649122807017544,0.9736842105263158,0.9649122807017544,0.9298245614035088
breast_cancer,10,3,4,0.9122807017543859,0.9473684210526315,0.9298245614035088,0.9210526315789473,0.9210526315789473
breast_cancer,10,3,5,0.9646017699115044,0.9557522123893806,0.9469026548672567,0.9469026548672567,0.9557522123893806
breast_cancer,10,4,1,0.9473684210526315,0.9385964912280702,0.9385964912280702,0.9649122807017544,0.9473684210526315
breast_cancer,10,4,2,0.8596491228070176,0.956140350877193,0.9385964912280702,0.956140350877193,0.956140350877193
breast_cancer,10,4,3,0.9385964912280702,0.9649122807017544,0.9736842105263158,0.9298245614035088,0.9473684210526315
breast_cancer,10,4,4,0.8771929824561403,0.9473684210526315,0.9298245614035088,0.9210526315789473,0.9298245614035088
