dataset,alpha,fmc,accuracyMean,accuracyStd,fitnessMean,fitnessStd,accFitnessDifferenceMean,accFitnessDifferenceStd,correlationMean,correlationStd
digits,0.985,0.2,0.9365518311607698,0.01665795352057855,0.9611682692307693,0.007431822559985983,0.018585791596535818,0.010904884665976307,0.21889344416780943,0.12616227486717013
digits,0.985,0.3,0.9349006828057108,0.028686945803100654,0.9673173076923078,0.00885743427928395,0.02349970622343978,0.016616609700493955,0.13122817513314497,0.10999636345962403
digits,0.995,0.1,0.9365704531346989,0.015054749823097312,0.9716490384615385,0.006122929566608291,0.024568649226471777,0.01705668466879618,0.18827217070414323,0.19278163046094066
digits,0.995,0.2,0.9376536312849162,0.017034760715158363,0.9725384615384616,0.007496533825384562,0.0224734939627799,0.010950221279606029,0.309844073718638,0.2517854531608983
digits,0.995,0.3,0.9460086902545003,0.017449607945773524,0.975610576923077,0.00513966318109032,0.02330353131117788,0.010429113064950883,0.1728157040045,0.21619002456454003
pima,0.975,0.1,0.7292207792207792,0.0519682340588865,0.8360582010582011,0.034151709822060276,0.03673476817042604,0.018465789398026258,-0.053262506722573565,0.2825893365692615
pima,0.975,0.2,0.7316131237183869,0.05366691823886292,0.8311375661375662,0.02439257688476015,0.03648914052808788,0.01922868391772414,0.07403509210714924,0.13821800480822158
pima,0.975,0.3,0.7383971291866029,0.04868890236746729,0.8296825396825398,0.029300738257138404,0.034755225310751495,0.011711721006772327,0.014523645822932738,0.2535743509184209
pima,0.985,0.1,0.7252563226247437,0.04444106905454884,0.8317195767195766,0.02372230743555726,0.06490184324447479,0.019356209640480106,0.023605300119719216,0.16240963434379926
pima,0.985,0.2,0.7252221462747779,0.049790718219579456,0.8175661375661376,0.02565006993505662,0.05584966722361466,0.01841551543186633,0.010229996706565032,0.16982556261041112
pima,0.985,0.3,0.7355434039644566,0.04878275416771588,0.8282010582010582,0.03307082886088104,0.061578731614389516,0.02911422872724181,0.0855989341833577,0.13312268442585035
pima,0.995,0.1,0.7407894736842106,0.05409219136963538,0.8303174603174603,0.02446297756959937,0.06396367553985964,0.03456751518125156,0.15799988834141804,0.2590617663333277
pima,0.995,0.2,0.7214456596035543,0.04009656501036394,0.8246296296296297,0.0188103527071537,0.06540630648591152,0.02014614246927911,-1.2625430209210753e-05,0.13181333998139053
pima,0.995,0.3,0.7447026657552973,0.04885564713561886,0.8376190476190477,0.025259832857518746,0.06708917141338185,0.032724807650233056,0.1488047393780841,0.19901574084024576
wine,0.975,0.1,0.9549019607843137,0.05203278514519629,0.9971428571428571,0.009035079029052435,0.00291899159663859,0.005435323680181694,-0.0857475532598236,
wine,0.975,0.2,0.9549019607843137,0.03654680037271805,0.9971428571428571,0.009035079029052468,0.0022907376283846674,0.004868768718686367,0.4655106277298064,
wine,0.975,0.3,0.9552287581699346,0.05745709796466608,0.9971428571428571,0.009035079029052444,0.00243026610644256,0.004849105937755969,-0.4014308095764698,
wine,0.985,0.1,0.9663398692810456,0.028987089803945466,1.0,0.0,0.0037243744164332042,0.007448005677264319,0.20301360450591896,0.14591255693529848
wine,0.985,0.2,0.9437908496732026,0.04628796541730063,0.9971428571428571,0.009035079029052442,0.004257689075630096,0.00796430936594716,0.2163410909577546,
wine,0.985,0.3,0.9601307189542483,0.06125066105727437,1.0,0.0,0.0025383706816059534,0.005859753538634193,-0.1767313734335951,
wine,0.995,0.1,0.9490196078431372,0.06325966083295088,0.9971428571428571,0.009035079029052468,0.0065451447245563,0.014190454721865139,0.40020382157112877,0.1657200354845558
wine,0.995,0.2,0.9660130718954247,0.04808353396664083,1.0,0.0,0.005497343604108277,0.008046920193569292,0.45547810449546866,0.284593792410572
wine,0.995,0.3,0.9830065359477125,0.027376528701437534,1.0,0.0,0.0011783753501400176,0.0020574748824245337,0.31427254287154494,0.19350336500129375
