TreesAmount,DecisionTreeMean,DecisionTreeStd,BaggingMean,BaggingStd,BaggingSAMean,BaggingSAStd,BaggingGAMean,BaggingGAStd
5,0.8538888888888888,0.003167153958608706,0.768888888888889,0.02424794760310577,0.8138888888888889,0.022481130633664793,0.8405555555555555,0.0239437354883444
10,0.8555555555555555,0.004392052305789424,0.8511111111111112,0.024969116726938016,0.8994444444444444,0.02199536988314344,0.9038888888888887,0.011041448285751
15,0.8544444444444445,0.011214794021214664,0.8872222222222221,0.011214794021214652,0.9255555555555555,0.011850405004278737,0.9277777777777778,0.013749298523071786
20,0.8455555555555556,0.00993807989999903,0.9066666666666666,0.012515422584520928,0.921111111111111,0.009128709291752805,0.9277777777777778,0.006804138174397599
25,0.8477777777777777,0.007708020514173086,0.915,0.01236033081182612,0.9238888888888889,0.009128709291752782,0.9338888888888889,0.010829771494232187
