dataset,fold,rep,beta,gamma,delta,fitness,spearman_corr,spearman_p,accuracy,precision,recall,f1
obesity,1,1,0.25,0.25,0.01,0.3644331974115266,-0.2364836754756444,8.051979213816389e-27,0.9507575757575758,0.9557732304765189,0.9490931743252039,0.9512903754858053
obesity,1,2,0.25,0.25,0.01,0.37166753336779434,-0.6358126284068759,5.386663984293703e-227,0.9412878787878788,0.9474796511557363,0.9408836200705999,0.942445248337119
obesity,1,3,0.25,0.25,0.01,0.3645745965046493,-0.7064521502771527,2.9890484335241104e-302,0.9375,0.9457875954550946,0.9357315669053758,0.937959964430717
obesity,2,1,0.25,0.25,0.01,0.37381480733721245,-0.25125967903603164,3.591640868599329e-30,0.9507575757575758,0.9544874440239449,0.9514535584003372,0.9516963249320247
obesity,2,2,0.25,0.25,0.01,0.37683912920940177,-0.46884290185612765,7.69012519496244e-110,0.9450757575757576,0.946555638389784,0.9452191999154894,0.9454928732068902
obesity,2,3,0.25,0.25,0.01,0.3701331483763963,-0.45344384182149927,5.3363535361888404e-102,0.9526515151515151,0.953824848148557,0.9520856820246711,0.9523630773358959
obesity,3,1,0.25,0.25,0.01,0.3635555215878665,-0.6863271346997466,1.2887655432024038e-278,0.9375,0.9379791507736392,0.9358572868282751,0.9342735531283627
obesity,3,2,0.25,0.25,0.01,0.37085191615777136,-0.7937146577503805,0.0,0.9412878787878788,0.9419136593077561,0.9404487066252928,0.9380237209184578
obesity,3,3,0.25,0.25,0.01,0.36977259707003485,-0.28524033295187395,9.44492181489131e-39,0.9488636363636364,0.9492594089452339,0.9477391534889378,0.9459929188830449
obesity,4,1,0.25,0.25,0.01,0.37020167082428423,-0.44854908106009383,1.369492775638961e-99,0.9259962049335864,0.9267943891668676,0.924971622746652,0.9237745877359618
obesity,4,2,0.25,0.25,0.01,0.36243865005232556,-0.5699302192286216,1.2166720603453874e-172,0.9411764705882353,0.9396563815463445,0.9399308176878999,0.9388210349065724
obesity,4,3,0.25,0.25,0.01,0.3791091355194097,-0.26182765859965607,1.0454997893227915e-32,0.9392789373814042,0.9406381321284256,0.9366598093307179,0.9365657934205464
obesity,1,1,0.25,0.25,0.05,0.3535563906320343,-0.6892105498279993,6.964654838362658e-282,0.9223484848484849,0.9374004557704378,0.9188790819993102,0.9240130879535428
obesity,1,2,0.25,0.25,0.05,0.35773660710505467,-0.6528071599206061,2.9557260868454186e-243,0.9223484848484849,0.9410626380487782,0.9176106953683553,0.9235818408410104
