Iteration,Accuracy
1,0.8277777777777777
2,0.8138888888888889
3,0.8305555555555556
4,0.8333333333333334
5,0.8388888888888889
6,0.8277777777777777
7,0.8194444444444444
8,0.8138888888888889
9,0.8388888888888889
10,0.8277777777777777
11,0.8388888888888889
12,0.8222222222222222
13,0.8277777777777777
14,0.8277777777777777
15,0.8444444444444444
16,0.8277777777777777
17,0.8277777777777777
18,0.8222222222222222
19,0.8472222222222222
20,0.8305555555555556
21,0.8472222222222222
22,0.8333333333333334
23,0.8527777777777777
24,0.8333333333333334
25,0.825
26,0.8194444444444444
27,0.8138888888888889
28,0.8055555555555556
29,0.8472222222222222
30,0.8277777777777777
31,0.825
32,0.8277777777777777
33,0.8166666666666667
34,0.8388888888888889
35,0.825
36,0.8388888888888889
37,0.8416666666666667
38,0.8222222222222222
39,0.8277777777777777
40,0.8166666666666667
