Dataset,nTrees,Rep,K,BaggingAccuracy,BaggingPrecision,BaggingRecall,BaggingF1,SAAccuracy,SAPrecision,SARecall,SAF1
digits,10,5,2,0.9361111111111111,0.9403313436412347,0.9355888119936108,0.9368465547258056,0.9638888888888889,0.9655647294266221,0.9645082095082096,0.964600998122125
digits,10,5,3,0.8941504178272981,0.8952349495196474,0.8935685743994568,0.8932249917441958,0.9303621169916435,0.9265126632773691,0.9312710296239708,0.9282407737938169
digits,10,5,4,0.924791086350975,0.9231968830932997,0.9261232009336791,0.9231031573998927,0.9498607242339833,0.9500782410027936,0.9494177698084997,0.9484101937272721
digits,10,5,5,0.9220055710306406,0.9253077733669841,0.9220682499015422,0.9223499173507873,0.9526462395543176,0.9571436204280938,0.9530582758001991,0.9542523364988986
digits,10,6,1,0.9361111111111111,0.9345087032635151,0.934349628759081,0.9336555666960166,0.95,0.9478546267846186,0.9476216512170422,0.9470367829981704
digits,10,6,2,0.9388888888888889,0.941794360739121,0.9399708678462548,0.9398513244863811,0.9638888888888889,0.9673792150932583,0.964167360637949,0.9646298535027604
digits,10,6,3,0.9025069637883009,0.9007382309943877,0.9014814319667261,0.9000852586157103,0.9387186629526463,0.9374155841441254,0.9355502928444105,0.9341817393861263
digits,10,6,4,0.9303621169916435,0.9301143510436749,0.9340874023498869,0.9307539994369604,0.9526462395543176,0.9568207390997763,0.9503911024294466,0.9518417811184389
digits,10,6,5,0.924791086350975,0.9294626319102773,0.9264839233736983,0.9262118072011264,0.9526462395543176,0.9546817027058963,0.9530211557408519,0.9532081496368232
digits,10,7,1,0.9388888888888889,0.9387898256012848,0.9369579940293333,0.9373229296444056,0.9444444444444444,0.945237197077806,0.9440127192917366,0.9444702414070401
digits,10,7,2,0.9277777777777778,0.9323720011220011,0.9281409117593329,0.92895987199308,0.9611111111111111,0.9638706586787649,0.9609629955585838,0.9615394704742906
digits,10,7,3,0.8941504178272981,0.8900026194688403,0.8916265915457092,0.8897745838974016,0.9331476323119777,0.9349457556937273,0.9320553433494612,0.931671084229831
digits,10,7,4,0.924791086350975,0.9267149285392886,0.9257876312219233,0.9250650731806352,0.9442896935933147,0.9454483835308138,0.9452255035384345,0.9446776837715557
digits,10,7,5,0.947075208913649,0.9477007756419521,0.9465436538049458,0.9465654536109633,0.958217270194986,0.9603345479036898,0.9585187175352278,0.9589278116617127
digits,20,0,1,0.9333333333333333,0.9343355714218413,0.9305520623016678,0.932135099147585,0.9583333333333334,0.958177426438296,0.9570736612700752,0.9569432627852749
digits,20,0,2,0.9388888888888889,0.9444832809489447,0.9381888009093892,0.9392417785582683,0.9722222222222222,0.9740457817053562,0.9721863421863421,0.9727952827952828
digits,20,0,3,0.9331476323119777,0.9336515247947703,0.9324811454884984,0.9316711932645407,0.935933147632312,0.9354815578719462,0.9329456752397929,0.9326537040500268
digits,20,0,4,0.9442896935933147,0.94620750795866,0.9440011031418329,0.9433997857234075,0.9665738161559888,0.9681315985957927,0.9658790896480651,0.9662082578436569
digits,20,0,5,0.9275766016713092,0.931713544488125,0.9286179575038813,0.9286589170532134,0.935933147632312,0.9400571951268546,0.9368470308817614,0.9373164565223708
digits,20,1,1,0.9527777777777777,0.9517853086982594,0.950383937949917,0.9505906149249302,0.9555555555555556,0.955196784201604,0.9542277578763404,0.9544527892196537
digits,20,1,2,0.9333333333333333,0.937555351995865,0.9336914600962588,0.9333994726269769,0.9555555555555556,0.9593009544605289,0.9559572161120149,0.9561163016618137
digits,20,1,3,0.9080779944289693,0.9061775751670519,0.9075036393345217,0.9054318519536857,0.9331476323119777,0.9318703776015592,0.9322744567523978,0.9304591627750376
digits,20,1,4,0.9303621169916435,0.9290673649809479,0.9311219920804777,0.9287889182315491,0.9665738161559888,0.9670335848242825,0.9666701245854414,0.9665681763348777
digits,20,1,5,0.9275766016713092,0.9336550814616894,0.9278008191185938,0.9290465519147206,0.9610027855153204,0.9629626905206248,0.9611636090131365,0.961810427015944
digits,20,2,1,0.9388888888888889,0.9383248817193721,0.9362161364419622,0.9367617731427957,0.9611111111111111,0.9603991930055761,0.9597778773438564,0.9598744807598056
digits,20,2,2,0.95,0.9536273273248064,0.9499312495268379,0.9510963852234754,0.9611111111111111,0.9624483155733156,0.96173381985882,0.9614962098118769
digits,20,2,3,0.9025069637883009,0.90165268515482,0.9003957325354385,0.8987476169749069,0.9303621169916435,0.9286234817813765,0.9299219399881163,0.9281654031835247
digits,20,2,4,0.935933147632312,0.9385366337591947,0.9336798046137034,0.934074802666865,0.947075208913649,0.9459376875903646,0.9477554585425298,0.9458325748666476
digits,20,2,5,0.9303621169916435,0.9343765911507849,0.9310239052356616,0.9315742274118325,0.947075208913649,0.9489104856188897,0.9475232524153684,0.9472740954841743
digits,20,3,1,0.9583333333333334,0.9579613103982852,0.9562285107466583,0.9563470381283283,0.9638888888888889,0.9644888817789152,0.9658322556169049,0.96433380196651
digits,20,3,2,0.95,0.954443968729683,0.9494982888732888,0.9509417796101195,0.9583333333333334,0.9610710928741619,0.959267005737594,0.9585304993420722
digits,20,3,3,0.9080779944289693,0.9054646655937697,0.9062396867838045,0.9037729838937159,0.9331476323119777,0.9320925876199709,0.9329391392920805,0.9307113700295874
digits,20,3,4,0.9331476323119777,0.9324239773063189,0.9335502362639401,0.9322500770140051,0.958217270194986,0.9596336894812506,0.9591561813021293,0.9584932082164819
digits,20,3,5,0.9220055710306406,0.9270835719708813,0.9229480403184466,0.922650318517962,0.9442896935933147,0.9458986909273854,0.9444569977709214,0.9448804182142195
digits,20,4,1,0.9388888888888889,0.9370439158753856,0.9353828031086289,0.9358312292694573,0.9472222222222222,0.9475040653602511,0.9470538448328621,0.9468083910471264
digits,20,4,2,0.9555555555555556,0.9583431006474801,0.9552419579625463,0.9561969407704073,0.9583333333333334,0.9624725878182099,0.9582701532701533,0.958952469879436
