Dataset,nTrees,Rep,K,BaggingAccuracy,BaggingPrecision,BaggingRecall,BaggingF1,SAAccuracy,SAPrecision,SARecall,SAF1
obesity,40,5,3,0.9407582938388626,0.9403811186497709,0.94095294317602,0.940044656116456,0.943127962085308,0.9480082417582417,0.9465140266475512,0.9443147399704593
obesity,40,5,4,0.9644549763033176,0.9635830107749973,0.9620863311977128,0.9625397412799855,0.943127962085308,0.9467554756456357,0.9414244328838712,0.9418559917865628
obesity,40,5,5,0.95260663507109,0.9506481059476453,0.9501446371385016,0.9501256643090746,0.9620853080568721,0.9623482304923897,0.9598581999829943,0.9607833769813523
obesity,40,6,1,0.966903073286052,0.9689052921811543,0.9685467469425315,0.9685153092386748,0.9692671394799054,0.9682974786296442,0.9686855670693697,0.9681212317495619
obesity,40,6,2,0.9597156398104265,0.9594118336351443,0.9566034105950073,0.9570240982190015,0.9502369668246445,0.9488079882115168,0.9475389474518346,0.9476894915642168
obesity,40,6,3,0.9383886255924171,0.9387607230833451,0.9376264915340032,0.9374004857792364,0.9383886255924171,0.9396230436772076,0.941042969236195,0.9387798437155469
obesity,40,6,4,0.9597156398104265,0.9598513463140285,0.9561852915365653,0.9569658775938636,0.95260663507109,0.9549820723122832,0.9499483691684371,0.9505330398337238
obesity,40,6,5,0.957345971563981,0.955880371047083,0.9552499050521187,0.9551509002098867,0.95260663507109,0.9519126226095009,0.9496011637597143,0.9504220569658423
obesity,40,7,1,0.9621749408983451,0.9638639676814676,0.9633084418798704,0.9628100856834596,0.9574468085106383,0.9605614709651977,0.958569739272043,0.9586906924663644
obesity,40,7,2,0.9644549763033176,0.9639013389408169,0.9620313966525333,0.9624493222207934,0.9502369668246445,0.9513926285459792,0.9474850797509081,0.9489024944183271
obesity,40,7,3,0.943127962085308,0.9419551026577703,0.943220516872165,0.9419841654259287,0.9312796208530806,0.9340906819317615,0.9323059288147196,0.9317189270103344
obesity,40,7,4,0.9644549763033176,0.9631592135286716,0.9615887156057576,0.961944497660505,0.95260663507109,0.9554300142227675,0.95130395428413,0.9516784934796033
obesity,40,7,5,0.9597156398104265,0.9573758207884541,0.958097525896344,0.9574480978170588,0.95260663507109,0.9517305793987617,0.950704881905191,0.9507457236625144
obesity,50,0,1,0.9692671394799054,0.9722800402766447,0.9706213670499384,0.9710343483571832,0.9692671394799054,0.9712882675053729,0.9704502267148637,0.97038458503068
obesity,50,0,2,0.9620853080568721,0.9613503185326536,0.9592841439052806,0.9598038195752908,0.9549763033175356,0.9571895998196782,0.9532928787505602,0.9541931739105227
