Iteration,Accuracy
1,0.925
2,0.8888888888888888
3,0.8583333333333333
4,0.9111111111111111
5,0.8583333333333333
6,0.8972222222222223
7,0.9055555555555556
8,0.8916666666666667
9,0.9111111111111111
10,0.8611111111111112
11,0.9055555555555556
12,0.9444444444444444
13,0.925
14,0.9222222222222223
15,0.9138888888888889
16,0.9083333333333333
17,0.9277777777777778
18,0.9083333333333333
19,0.9166666666666666
20,0.8833333333333333
21,0.8888888888888888
22,0.9
23,0.9138888888888889
24,0.8777777777777778
25,0.9111111111111111
26,0.8833333333333333
27,0.8944444444444445
28,0.8888888888888888
29,0.9055555555555556
30,0.8972222222222223
31,0.9166666666666666
32,0.9055555555555556
33,0.9083333333333333
34,0.9222222222222223
35,0.9222222222222223
36,0.8972222222222223
37,0.9083333333333333
38,0.9
39,0.9
40,0.9027777777777778
