Iteration,Accuracy
1,0.7222222222222222
2,0.825
3,0.7833333333333333
4,0.7916666666666666
5,0.7916666666666666
6,0.7916666666666666
7,0.7611111111111111
8,0.775
9,0.7333333333333333
10,0.7277777777777777
11,0.7472222222222222
12,0.75
13,0.7388888888888889
14,0.7527777777777778
15,0.7388888888888889
16,0.8027777777777778
17,0.6888888888888889
18,0.7027777777777777
19,0.7333333333333333
20,0.8
21,0.7416666666666667
22,0.7388888888888889
23,0.7166666666666667
24,0.675
25,0.7361111111111112
26,0.7666666666666667
27,0.7555555555555555
28,0.7138888888888889
29,0.7416666666666667
30,0.7611111111111111
31,0.7333333333333333
32,0.7972222222222223
33,0.7416666666666667
34,0.7138888888888889
35,0.7611111111111111
36,0.7666666666666667
37,0.7527777777777778
38,0.7416666666666667
39,0.6916666666666667
40,0.7194444444444444
