n_trees,bagging_mean,bagging_std,bagging_ga_mean,bagging_ga_std,bagging_sa_mean,bagging_sa_std
5,0.7083333333333334,0.0,0.725,0.0,0.7083333333333334,0.0
10,0.8472222222222222,0.0,0.8416666666666667,0.0,0.8388888888888889,0.0
