Iteration,Accuracy
1,0.8444444444444444
2,0.8694444444444445
3,0.8722222222222222
4,0.8638888888888889
5,0.7666666666666667
6,0.8666666666666667
7,0.8333333333333334
8,0.8583333333333333
9,0.8666666666666667
10,0.8472222222222222
11,0.8444444444444444
12,0.8388888888888889
13,0.8583333333333333
14,0.8416666666666667
15,0.8638888888888889
16,0.8833333333333333
17,0.8388888888888889
18,0.8583333333333333
19,0.8305555555555556
20,0.8194444444444444
21,0.8222222222222222
22,0.8444444444444444
23,0.8638888888888889
24,0.8555555555555555
25,0.8166666666666667
26,0.8694444444444445
27,0.875
28,0.8194444444444444
29,0.8222222222222222
30,0.8083333333333333
31,0.85
32,0.8416666666666667
33,0.7583333333333333
34,0.8361111111111111
35,0.8583333333333333
36,0.8777777777777778
37,0.8444444444444444
38,0.8138888888888889
39,0.8527777777777777
40,0.8472222222222222
