Iteration,Accuracy
1,0.8166666666666667
2,0.8777777777777778
3,0.8416666666666667
4,0.7888888888888889
5,0.8638888888888889
6,0.8388888888888889
7,0.8138888888888889
8,0.8166666666666667
9,0.9
10,0.8527777777777777
11,0.8888888888888888
12,0.8833333333333333
13,0.8722222222222222
14,0.8555555555555555
15,0.85
16,0.8361111111111111
17,0.8416666666666667
18,0.8333333333333334
19,0.8472222222222222
20,0.8388888888888889
21,0.8361111111111111
22,0.8333333333333334
23,0.8361111111111111
24,0.8166666666666667
25,0.8888888888888888
26,0.875
27,0.825
28,0.8194444444444444
29,0.8666666666666667
30,0.8583333333333333
31,0.8611111111111112
32,0.8472222222222222
33,0.8527777777777777
34,0.8638888888888889
35,0.8055555555555556
36,0.8166666666666667
37,0.8916666666666667
38,0.8472222222222222
39,0.8555555555555555
40,0.8444444444444444
