n_trees,rep,accuracy_fitted,accuracy_init,accuracy_control,fitness
5,0,0.5,0.7833333333333333,0.6777777777777778,0.8111111111111111
5,1,0.6333333333333333,0.8083333333333333,0.7305555555555555,0.888888888888889
5,2,0.7277777777777777,0.8555555555555555,0.7083333333333334,0.9277777777777778
5,3,0.5972222222222222,0.75,0.7694444444444445,0.861111111111111
5,4,0.5194444444444445,0.825,0.7555555555555555,0.7611111111111111
5,5,0.5722222222222222,0.7944444444444444,0.7472222222222222,0.8694444444444445
5,6,0.5583333333333333,0.8361111111111111,0.75,0.875
5,7,0.5416666666666666,0.7972222222222223,0.8166666666666667,0.8722222222222221
5,8,0.5361111111111111,0.8333333333333334,0.7111111111111111,0.875
5,9,0.5722222222222222,0.825,0.7611111111111111,0.9055555555555556
10,0,0.5444444444444444,0.9055555555555556,0.7777777777777778,0.8486111111111111
10,1,0.6388888888888888,0.9138888888888889,0.7972222222222223,0.8861111111111111
10,2,0.5805555555555556,0.9111111111111111,0.8666666666666667,0.8569444444444445
10,3,0.5944444444444444,0.8638888888888889,0.7833333333333333,0.8694444444444442
10,4,0.6305555555555555,0.8666666666666667,0.8527777777777777,0.9208333333333332
10,5,0.6333333333333333,0.8916666666666667,0.7944444444444444,0.9041666666666668
10,6,0.6638888888888889,0.9055555555555556,0.8611111111111112,0.8875
10,7,0.49444444444444446,0.8944444444444445,0.8722222222222222,0.8541666666666666
10,8,0.6055555555555555,0.8583333333333333,0.8527777777777777,0.9013888888888889
10,9,0.5333333333333333,0.8138888888888889,0.8527777777777777,0.8625
15,0,0.6611111111111111,0.9194444444444444,0.9055555555555556,0.8796296296296295
15,1,0.5361111111111111,0.9333333333333333,0.8666666666666667,0.8666666666666666
15,2,0.5972222222222222,0.8638888888888889,0.8527777777777777,0.8620370370370369
