Iteration,Accuracy
1,0.8138888888888889
2,0.8222222222222222
3,0.8333333333333334
4,0.8277777777777777
5,0.8305555555555556
6,0.8305555555555556
7,0.8305555555555556
8,0.8333333333333334
9,0.8222222222222222
10,0.8333333333333334
11,0.8194444444444444
12,0.8222222222222222
13,0.8333333333333334
14,0.8333333333333334
15,0.8138888888888889
16,0.8361111111111111
17,0.8333333333333334
18,0.8166666666666667
19,0.8305555555555556
20,0.825
21,0.8222222222222222
22,0.8111111111111111
23,0.8138888888888889
24,0.8444444444444444
25,0.825
26,0.8305555555555556
27,0.8333333333333334
28,0.8388888888888889
29,0.8194444444444444
30,0.8361111111111111
31,0.8333333333333334
32,0.8416666666666667
33,0.8416666666666667
34,0.8333333333333334
35,0.8222222222222222
36,0.825
37,0.8388888888888889
38,0.8305555555555556
39,0.8277777777777777
40,0.8194444444444444
