Iteration,Accuracy
1,0.9027777777777778
2,0.8333333333333334
3,0.8666666666666667
4,0.8777777777777778
5,0.85
6,0.9
7,0.8888888888888888
8,0.8472222222222222
9,0.925
10,0.8777777777777778
11,0.8583333333333333
12,0.8888888888888888
13,0.9138888888888889
14,0.8861111111111111
15,0.8666666666666667
16,0.8722222222222222
17,0.8694444444444445
18,0.9055555555555556
19,0.8527777777777777
20,0.8888888888888888
21,0.8666666666666667
22,0.8638888888888889
23,0.8638888888888889
24,0.9111111111111111
25,0.875
26,0.9222222222222223
27,0.8972222222222223
28,0.8611111111111112
29,0.9055555555555556
30,0.8666666666666667
31,0.9
32,0.9027777777777778
33,0.875
34,0.8388888888888889
35,0.8888888888888888
36,0.8694444444444445
37,0.8805555555555555
38,0.8861111111111111
39,0.9027777777777778
40,0.8777777777777778
