dataset,fold,rep,beta,gamma,delta,fitness,spearman_corr,spearman_p,accuracy,precision,recall,f1
digits,3,1,0.25,0.5,0.01,0.4120756149595159,0.5588942612235653,1.061178627254475e-164,0.9443207126948775,0.9449185935408663,0.9443707045168377,0.9443765124385177
digits,3,2,0.25,0.5,0.01,0.43026907692697164,0.23222436405609098,6.763082157045302e-26,0.9420935412026726,0.9444429498837115,0.9410369451322825,0.9418722493434555
digits,3,3,0.25,0.5,0.01,0.40371507448519833,0.4860179910044978,4.500381114279492e-119,0.9376391982182628,0.9380631137045405,0.9372727825862442,0.9369656756586522
digits,4,1,0.25,0.5,0.01,0.40489848604554485,-0.06441088310272078,0.0039549337360613515,0.9398663697104677,0.9410109053668938,0.9391369462587719,0.9394065206259695
digits,4,2,0.25,0.5,0.01,0.3977979588923861,0.30703884175971047,6.34923828593293e-45,0.9510022271714922,0.9523835019699283,0.9509528419364534,0.9510755053376652
digits,4,3,0.25,0.5,0.01,0.3948764296132718,0.5246108205994343,7.572904784573222e-142,0.955456570155902,0.9547871815793609,0.9548145346246295,0.95458424235055
digits,1,1,0.25,0.5,0.05,0.39698511795222324,0.22637175276271704,1.1752690141778631e-24,0.9511111111111111,0.9492214972569929,0.9493143077913606,0.9488259096515381
digits,1,2,0.25,0.5,0.05,0.3945340522623804,0.7055468499304527,3.817876318773211e-301,0.9688888888888889,0.9718336926888338,0.9681800695213643,0.9696633049329051
digits,1,3,0.25,0.5,0.05,0.39202080156685415,0.49670335484232253,4.341484518347096e-125,0.9644444444444444,0.9656066238441398,0.9622282542640781,0.9635863970227803
digits,2,1,0.25,0.5,0.05,0.38819633640067075,0.2195766047264924,2.928474329368541e-23,0.9398663697104677,0.9410664877128292,0.9408297727296123,0.9397413677547659
digits,2,2,0.25,0.5,0.05,0.3809431923425731,0.27359127539781886,1.1396144409630247e-35,0.9309576837416481,0.9319209490182029,0.9311890573744025,0.9305606611827496
digits,2,3,0.25,0.5,0.05,0.40212416855399313,0.4572045948011486,7.066388821329478e-104,0.9376391982182628,0.9392569145830014,0.9389786541572972,0.9368778407598791
digits,3,1,0.25,0.5,0.05,0.42295219643903853,0.33652545313136323,3.772116441329193e-54,0.9287305122494433,0.9289283479249952,0.9283943642566064,0.9280734298029515
digits,3,2,0.25,0.5,0.05,0.41343183966016783,0.1625531416382854,2.5979570180440646e-13,0.933184855233853,0.9336763625152352,0.9329525203398317,0.9328364177466983
digits,3,3,0.25,0.5,0.05,0.40506760539655273,0.47365027191256787,2.262274411995503e-112,0.9309576837416481,0.9345127585118984,0.9308036313461059,0.9314910848803104
digits,4,1,0.25,0.5,0.05,0.39682563032369533,0.4786801331700333,4.595683994882015e-115,0.955456570155902,0.9559436621936623,0.9551055738865291,0.9551520889806595
digits,4,2,0.25,0.5,0.05,0.3983178473859588,0.4863266190816547,3.0372248951499053e-119,0.955456570155902,0.9555590429979712,0.9557896657652659,0.9554469521847164
digits,4,3,0.25,0.5,0.05,0.3881715975802663,0.33794049648512414,1.2810578645758172e-54,0.9576837416481069,0.9584647245607328,0.9565582694296832,0.9571258655377266
digits,1,1,0.25,0.75,0.01,0.5067591706539074,0.5144271491500687,1.4994889373688366e-135,0.9711111111111111,0.9694225890360147,0.9698882061860437,0.9694086704798967
digits,1,2,0.25,0.75,0.01,0.4967795545098177,0.11918789229697305,8.993003193382291e-08,0.9688888888888889,0.9703443008146939,0.9678813129291506,0.9687957680376155
digits,1,3,0.25,0.75,0.01,0.513763790303264,0.23813953939209417,3.4801614033393075e-27,0.96,0.9604986918585239,0.960719072757386,0.9598593342329644
digits,2,1,0.25,0.75,0.01,0.501381600726415,0.5807768171942043,9.587079168152193e-181,0.9420935412026726,0.9461413834724732,0.941703009019373,0.9428886021910803
digits,2,2,0.25,0.75,0.01,0.5148400430838512,0.503581571895393,4.4750286493268e-129,0.933184855233853,0.9360845864311049,0.9340140153758126,0.9328762739336977
digits,2,3,0.25,0.75,0.01,0.4986273191033253,0.4796060729015182,1.4515301511176156e-115,0.9398663697104677,0.9417372649169786,0.9402355422904524,0.9399821536483698
digits,3,1,0.25,0.75,0.01,0.5282544456317677,0.6258280894570223,6.553217135811069e-218,0.9420935412026726,0.9459740142297275,0.9410061135607533,0.9418029497781326
digits,3,2,0.25,0.75,0.01,0.4935404544286124,0.3998486124621531,1.164400850612183e-77,0.9309576837416481,0.9323063586165177,0.9309784563451096,0.9306104478538085
digits,3,3,0.25,0.75,0.01,0.4772315330867962,0.3808486792121698,4.791975072571954e-70,0.9376391982182628,0.9406738582087453,0.9368240848218612,0.9374136350186685
digits,4,1,0.25,0.75,0.01,0.48012898315994296,-0.2969971732492933,5.162071899626177e-42,0.9599109131403119,0.9603631762603284,0.9596474120232369,0.9597849196158247
digits,4,2,0.25,0.75,0.01,0.48437888392996753,0.5537530864382715,4.207796046103303e-161,0.9510022271714922,0.9529019198537831,0.9503227229265434,0.9512885726047238
digits,4,3,0.25,0.75,0.01,0.476891992596327,-0.07242115510528876,0.0011910950346599057,0.9354120267260579,0.9358189185797882,0.9372497063498105,0.9356497423037832
digits,1,1,0.25,0.75,0.05,0.5094724635100022,0.3188107925613603,1.7496743847324642e-48,0.9422222222222222,0.9420218503301211,0.9409975946586349,0.9412870190073453
digits,1,2,0.25,0.75,0.05,0.4926838057453383,0.6153662387064485,9.709213252481636e-209,0.96,0.9602518403040488,0.9593882409374238,0.9594398943446338
digits,1,3,0.25,0.75,0.05,0.46526652931579576,0.3509045777393229,4.956242215327895e-59,0.9577777777777777,0.9571977526941037,0.9558990696907678,0.9562611615781513
digits,2,1,0.25,0.75,0.05,0.5000710275276838,0.3614463708615927,8.929540373142987e-63,0.9443207126948775,0.9463890393912546,0.9443889474729975,0.943539022281065
digits,2,2,0.25,0.75,0.05,0.46705111168501257,0.24361804290451075,2.0713294810519997e-28,0.9398663697104677,0.9416768013420125,0.9398982495595428,0.9397603244210536
digits,2,3,0.25,0.75,0.05,0.47324951562025863,0.45390549547637393,3.1475307497817305e-102,0.9465478841870824,0.949602224625108,0.947005972929864,0.9469597393315314
digits,3,1,0.25,0.75,0.05,0.4691905893813789,0.20471704367926088,2.295763050728317e-20,0.9198218262806236,0.920694088175593,0.9191448927978328,0.9191136096209149
digits,3,2,0.25,0.75,0.05,0.48854106179338375,0.20134729433682358,9.708722597509453e-20,0.9443207126948775,0.9449630737975225,0.9447034724637428,0.9441308576468403
digits,3,3,0.25,0.75,0.05,0.4808409402774728,0.6401536105384027,4.738749697126882e-231,0.9354120267260579,0.9361862784441085,0.935256872315923,0.934987577990918
digits,4,1,0.25,0.75,0.05,0.4904415677276762,0.03667294368198827,0.10109042749913667,0.9510022271714922,0.9540541556899506,0.9502463900032934,0.9516903779132265
digits,4,2,0.25,0.75,0.05,0.48804624323045376,0.5876971409242853,4.467338990233458e-186,0.9576837416481069,0.9585349823811209,0.9580315571594294,0.9579023996086962
digits,4,3,0.25,0.75,0.05,0.5208240304587054,0.44016418104104527,1.4903507149652926e-95,0.9665924276169265,0.9675209625986175,0.9664941560230635,0.9667810586133948
digits,1,1,0.5,0.25,0.01,0.5626456126719285,-0.04613699053424763,0.03910145346496883,0.9577777777777777,0.9560943380989257,0.955676317751949,0.9557538922090393
digits,1,2,0.5,0.25,0.01,0.5612829643887436,0.08358729311623991,0.00018230675908653614,0.9644444444444444,0.9642820606210034,0.9643127144263414,0.9641610977618992
digits,1,3,0.5,0.25,0.01,0.5683427090774648,0.6873327682614372,9.440714577720295e-280,0.9711111111111111,0.9715124505650822,0.9715191966337449,0.9712436568304874
digits,2,1,0.5,0.25,0.01,0.5650264190573788,0.348216432054108,4.2397409305741704e-58,0.9265033407572383,0.9265299880577818,0.9263216618104465,0.9255022046245098
digits,2,2,0.5,0.25,0.01,0.5625874564032459,0.07233480008370001,0.0012073869826563892,0.9354120267260579,0.9390469976873306,0.9354650979942282,0.9353879755126664
digits,2,3,0.5,0.25,0.01,0.5595787507412895,0.20171822342955584,8.294102326049135e-20,0.9354120267260579,0.9358723119698729,0.9359521503519899,0.9346550368299301
digits,3,1,0.5,0.25,0.01,0.5612052154072279,0.2917259094314773,1.5655366826857812e-40,0.9376391982182628,0.9398645775670993,0.9375023291104891,0.9370806437834094
digits,3,2,0.5,0.25,0.01,0.5637710462052568,0.1767528951882238,1.6865638304220655e-15,0.9354120267260579,0.936538791205155,0.9354972529753187,0.9356248367288862
digits,3,3,0.5,0.25,0.01,0.5738520855935716,0.4809361472340367,2.7551445568433857e-116,0.9420935412026726,0.9448135996791238,0.9417884798309547,0.9418376598807667
digits,4,1,0.5,0.25,0.01,0.5819893309419626,0.6190462862615715,6.322095441611869e-212,0.9688195991091314,0.9695224586288417,0.9675251801517648,0.9682981625028543
digits,4,2,0.5,0.25,0.01,0.5628366516524411,0.09792945948236487,1.1474036157722167e-05,0.9576837416481069,0.9583179707018898,0.9576062090592773,0.9577485468948769
digits,4,3,0.5,0.25,0.01,0.5603791380904385,0.5147189698727622,9.964862369473641e-136,0.9621380846325167,0.963498173677389,0.9627644779647057,0.9624830081384216
digits,1,1,0.5,0.25,0.05,0.5525135499175746,0.20794793281496368,5.624703760586002e-21,0.9533333333333334,0.9530175843440623,0.9536671109334198,0.9529171841663692
digits,1,2,0.5,0.25,0.05,0.55414266045845,0.37941358416443777,1.7197288694553314e-69,0.9711111111111111,0.971524702940185,0.971007511990704,0.9709336161140831
digits,1,3,0.5,0.25,0.05,0.5662095158023951,0.1517983637688348,8.856148587838033e-12,0.9644444444444444,0.9645786845725451,0.9633092120437496,0.9637361515670475
digits,2,1,0.5,0.25,0.05,0.5581333753965333,0.222958294324011,5.990014496320699e-24,0.9465478841870824,0.947870651817146,0.9471347980054977,0.9469276001927642
digits,2,2,0.5,0.25,0.05,0.5561956021561284,0.3030799043836311,9.20006103824449e-44,0.933184855233853,0.9363384078941352,0.9342980133400773,0.9342155210710276
digits,2,3,0.5,0.25,0.05,0.5509635721748725,0.058117528029382005,0.009331414978724733,0.9309576837416481,0.9342843580328282,0.9309238079255268,0.93124362791332
digits,3,1,0.5,0.25,0.05,0.5610402959613486,0.32175041193760295,2.131387701724674e-49,0.9398663697104677,0.9420966552729508,0.9388553571644079,0.9394291535952043
digits,3,2,0.5,0.25,0.05,0.5549884267779005,0.4705456266364066,9.861950746317278e-111,0.9420935412026726,0.9435155278607763,0.9418540354913467,0.9419495116172489
digits,3,3,0.5,0.25,0.05,0.554111331708081,0.23708916227229054,5.929466966224166e-27,0.9376391982182628,0.9405928558067782,0.9373862255811393,0.9375456540609715
digits,4,1,0.5,0.25,0.05,0.553202417952418,0.0812162288040572,0.0002770796689025018,0.9510022271714922,0.9501215958405552,0.9520316174446108,0.9507367514521492
digits,4,2,0.5,0.25,0.05,0.5519882243659333,-0.014995623748905935,0.5027028305315444,0.9420935412026726,0.9427537829742969,0.942588940409145,0.94203684705438
digits,4,3,0.5,0.25,0.05,0.5429994292200174,0.10790577897644475,1.319431229298061e-06,0.9510022271714922,0.9507421545188148,0.9513424303959507,0.9509098545870481
digits,1,1,0.5,0.5,0.01,0.6471082815819658,0.6328505533666294,2.893935144097462e-224,0.9711111111111111,0.9693994733555847,0.9699915653591702,0.9694668371388886
digits,1,2,0.5,0.5,0.01,0.6490791703423282,0.08200048571137415,0.00024154274918848685,0.9577777777777777,0.9580678134598306,0.9569876132803286,0.957130545415507
digits,1,3,0.5,0.5,0.01,0.6706166674456148,0.4783941048161173,6.556228416974781e-115,0.9666666666666667,0.9673640147115756,0.9660601752170364,0.966439130904339
digits,2,1,0.5,0.5,0.01,0.6366555973266499,0.22126444631611156,1.3306789419380776e-23,0.9465478841870824,0.9480929742944761,0.9463979760603257,0.9458426044608904
digits,2,2,0.5,0.5,0.01,0.6409018214900568,0.3080043830010957,3.287106766825174e-45,0.9510022271714922,0.9518257346521818,0.9505310590747638,0.9501303367029955
digits,2,3,0.5,0.5,0.01,0.6336736942394837,0.14898704016437048,2.1399480633180472e-11,0.9376391982182628,0.9391292038428262,0.9375656744234403,0.9373971966008213
digits,3,1,0.5,0.5,0.01,0.6457939854263384,0.25923616080904016,4.488511828163784e-32,0.9265033407572383,0.9277577131540549,0.9266138678575621,0.9264403434870635
digits,3,2,0.5,0.5,0.01,0.6409256435572225,0.5694857593714399,2.5751953425626975e-172,0.9443207126948775,0.9485492687096067,0.9439015704650323,0.9443891769888234
digits,3,3,0.5,0.5,0.01,0.6579520985836775,0.4852502878125719,1.1947633062870151e-118,0.9443207126948775,0.944650136379676,0.9433036313461063,0.9435650021579283
digits,4,1,0.5,0.5,0.01,0.6395870825654109,0.5354438328609582,8.734289226185756e-149,0.9532293986636972,0.9545075028135083,0.9523460659528938,0.9531787072396494
digits,4,2,0.5,0.5,0.01,0.6596410719483475,-0.05169854869402414,0.020770512021419597,0.9532293986636972,0.9546846897064288,0.9523333995218815,0.9529872786548367
digits,4,3,0.5,0.5,0.01,0.6408003906424959,0.49700361125090287,2.920763107186871e-125,0.9465478841870824,0.9477034030710273,0.9469093779243435,0.9471021537836546
digits,1,1,0.5,0.5,0.05,0.6344535981161369,0.42461902047321937,2.3077687939939068e-88,0.9577777777777777,0.9568336839004973,0.9576719356011291,0.9569107509162189
digits,1,2,0.5,0.5,0.05,0.6413147126351461,-0.1177900524475131,1.2719809743350636e-07,0.94,0.9393832102220431,0.9390277846569683,0.938971450955963
digits,1,3,0.5,0.5,0.05,0.6385269575052857,0.29653152152962003,6.998216545137939e-42,0.9644444444444444,0.9634976222804814,0.9649662438522031,0.9640743993369467
digits,2,1,0.5,0.5,0.05,0.6278370309600959,0.4762394864884615,9.425561497141523e-114,0.9354120267260579,0.9376944050628261,0.9351489800364698,0.9348549086453021
digits,2,2,0.5,0.5,0.05,0.631353313410589,0.23201483950370985,7.501262300429847e-26,0.9487750556792873,0.9508422914938617,0.9496335612298731,0.9486973404967548
digits,2,3,0.5,0.5,0.05,0.6454434119658577,0.5036471822895309,4.09567028603735e-129,0.9465478841870824,0.9496434753141283,0.9463046501881962,0.9461304857414161
digits,3,1,0.5,0.5,0.05,0.6275428056498523,0.15959690189922546,7.022887672572592e-13,0.9309576837416481,0.9320949787422137,0.9301825954053029,0.9303023170864029
digits,3,2,0.5,0.5,0.05,0.6370642818367277,-0.1235687723921931,2.956935493321333e-08,0.9198218262806236,0.9222384709982266,0.9190278887095695,0.9194489831847845
digits,3,3,0.5,0.5,0.05,0.6262269392973728,0.3570165562541391,3.479984842613231e-61,0.9287305122494433,0.9284644577969342,0.9280992620719694,0.928078415883394
digits,4,1,0.5,0.5,0.05,0.6434929486291716,0.45943353985838503,5.308145486632439e-105,0.9510022271714922,0.9517811856760645,0.950383738301736,0.950262379733023
digits,4,2,0.5,0.5,0.05,0.6224187956865975,0.38146247336561834,2.7689207888248828e-70,0.9665924276169265,0.9671667667066826,0.9666987386744547,0.9667774670781334
digits,4,3,0.5,0.5,0.05,0.6170471649380317,0.3831266738190135,6.221325445389915e-71,0.9621380846325167,0.9623606748355803,0.961420574259248,0.9616247492222698
digits,1,1,0.5,0.75,0.01,0.7382875488804281,0.0172811068202767,0.43987216240437876,0.9488888888888889,0.9480413315687672,0.9476651105668494,0.9476241423828832
digits,1,2,0.5,0.75,0.01,0.7151651506388348,-0.08085624374438204,0.00029498105017943,0.9577777777777777,0.9564681846971572,0.9580389329183285,0.9571035352155525
digits,1,3,0.5,0.75,0.01,0.7154809160567674,0.434933312233328,4.3125205653180975e-93,0.96,0.9594550745082661,0.9588878530661255,0.9589296204425203
digits,2,1,0.5,0.75,0.01,0.7365886736242773,0.2873377228344307,2.538081132172446e-39,0.933184855233853,0.9364556051473029,0.932467924933802,0.931806955148852
digits,2,2,0.5,0.75,0.01,0.7443388453651612,0.26075181218795307,1.918152515995598e-32,0.9510022271714922,0.9516890886261278,0.9513373105886933,0.9506633203480224
digits,2,3,0.5,0.75,0.01,0.7243224348750664,0.5610996892749224,2.9027238413301865e-166,0.9443207126948775,0.9483470470416284,0.9450163756004256,0.945168567173767
digits,3,1,0.5,0.75,0.01,0.6935634186075362,0.3708570972142743,3.067434569369001e-66,0.9532293986636972,0.9544142783345014,0.9524686239788942,0.9528279841015861
digits,3,2,0.5,0.75,0.01,0.7298194213766969,0.6647706866926716,2.389755998838948e-255,0.9443207126948775,0.9462181544090772,0.9443775387075766,0.9444850273958878
digits,3,3,0.5,0.75,0.01,0.7150961602896587,0.6593834908458727,7.805744500857102e-250,0.9265033407572383,0.9279012427986875,0.9261574353435271,0.9263530844702312
digits,4,1,0.5,0.75,0.01,0.7370609440439162,0.5298407764601941,3.640740654141235e-145,0.9487750556792873,0.9498047215929979,0.9498335139031907,0.9490387519070422
digits,4,2,0.5,0.75,0.01,0.7113857370848891,0.506045636011409,1.585635965551953e-130,0.9599109131403119,0.9605179234814495,0.9601444945931517,0.9601038948342872
digits,4,3,0.5,0.75,0.01,0.7632143987763182,0.7429137657284415,0.0,0.9665924276169265,0.9680887059726759,0.9664347013468841,0.9667003760827988
digits,1,1,0.5,0.75,0.05,0.725709006078201,0.07450610540446616,0.0008543243723941476,0.9555555555555556,0.9549567880695197,0.9547269848364108,0.9544302599731548
digits,1,2,0.5,0.75,0.05,0.7073584506308964,0.5041968514273605,1.9484750756241527e-129,0.9666666666666667,0.9661340620583239,0.9650752510533211,0.9652594467769431
digits,1,3,0.5,0.75,0.05,0.7452319957991784,0.2376156789039197,4.541046218447894e-27,0.9577777777777777,0.9574966080370826,0.9584511325054373,0.9576929109689537
digits,2,1,0.5,0.75,0.05,0.7131252072660742,0.51577072044268,2.27724336027337e-136,0.9510022271714922,0.9510629140361833,0.9505565366897466,0.9501339677422289
digits,2,2,0.5,0.75,0.05,0.7046983062517118,0.03696069924017481,0.0984400096268677,0.933184855233853,0.9345376093074304,0.9341892111896739,0.9330883576133056
digits,2,3,0.5,0.75,0.05,0.7038762515434343,0.26767400941850233,3.677344381900189e-34,0.9398663697104677,0.9424234193928542,0.9402768972763035,0.9401106335829164
digits,3,1,0.5,0.75,0.05,0.7081928578817123,0.642446820111705,3.2104940371868504e-233,0.9287305122494433,0.9306626563836788,0.9282562381761643,0.9283883222417317
digits,3,2,0.5,0.75,0.05,0.7101046450969053,0.3962888535722134,3.396872887446507e-76,0.9420935412026726,0.9450817465695927,0.9409915446203628,0.9416514537578655
digits,3,3,0.5,0.75,0.05,0.7257000791606054,0.6403123735780933,3.3580799758849974e-231,0.9287305122494433,0.9316740667408523,0.9286041944834228,0.9288355462882695
digits,4,1,0.5,0.75,0.05,0.7028180324147817,0.4668007917001979,8.893064347954956e-109,0.9510022271714922,0.9515745256094801,0.9494722736533376,0.950272799803735
digits,4,2,0.5,0.75,0.05,0.7080425643328121,0.3160151442407974,1.2676812226019956e-47,0.9532293986636972,0.955015753669889,0.9523755102343856,0.9532325486389117
digits,4,3,0.5,0.75,0.05,0.6955671717343543,0.42447802777868626,2.6711367153613115e-88,0.9487750556792873,0.9502510986678085,0.9484458391955242,0.9489201724991817
digits,1,1,0.75,0.25,0.01,0.8034629275093671,0.4308460118204622,3.374243835521903e-91,0.9622222222222222,0.962664483668169,0.9618755257982518,0.9619352979604475
digits,1,2,0.75,0.25,0.01,0.8125916413021677,0.07006318456834353,0.0017172806184125042,0.96,0.960499371200856,0.9613074683670966,0.9603705478701562
digits,1,3,0.75,0.25,0.01,0.8165043845043845,0.5913877793146489,5.67016127733578e-189,0.9666666666666667,0.9686670938109326,0.9671386836929885,0.9673742934026972
digits,2,1,0.75,0.25,0.01,0.8072882191767641,0.4129863147465786,3.17686135656179e-83,0.9354120267260579,0.936101854756244,0.9359328385403561,0.9346201578885435
digits,2,2,0.75,0.25,0.01,0.8158476771766245,0.6274582493645624,2.268776275925585e-219,0.9621380846325167,0.9640351407706703,0.9629147309287116,0.9629020111279638
digits,2,3,0.75,0.25,0.01,0.7965797944745314,0.3814811708702927,2.7229915341607985e-70,0.9532293986636972,0.9551838644168555,0.9536449984513011,0.9534918666353462
digits,3,1,0.75,0.25,0.01,0.8124656109857349,0.530165180041295,2.2565987604252593e-145,0.9510022271714922,0.9515223014543034,0.950983229764487,0.9505109133595937
digits,3,2,0.75,0.25,0.01,0.7994248348400826,0.2785807446451861,5.689405580466529e-37,0.9420935412026726,0.9448883139724721,0.9416731694334398,0.9421272978568899
digits,3,3,0.75,0.25,0.01,0.8230814643446223,0.26931854232963554,1.4125380977076994e-34,0.9287305122494433,0.9322581159640357,0.9286972011908954,0.9284748360268875
digits,4,1,0.75,0.25,0.01,0.8005676679701448,0.2809493263426876,1.3415833490704071e-37,0.9643652561247216,0.9659012350759703,0.9630453394349903,0.9640589370722596
digits,4,2,0.75,0.25,0.01,0.7994171481539902,-0.014742284185571044,0.5099480289319316,0.9465478841870824,0.9483355187443759,0.945575167842297,0.9466560571771101
digits,4,3,0.75,0.25,0.01,0.8180811113837428,0.7131246817985922,1.54485447110804e-310,0.9665924276169265,0.9681251690994814,0.9666581488955275,0.967148434073326
