dataset,fold,rep,beta,gamma,delta,fitness,spearman_corr,spearman_p,accuracy,precision,recall,f1
wine,1,1,0.25,0.5,0.05,0.4224171539961014,0.23038430012598612,1.6738960773606843e-25,1.0,1.0,1.0,1.0
wine,1,2,0.25,0.5,0.05,0.46851851851851856,-0.27671739356964864,1.7553539896877988e-36,1.0,1.0,1.0,1.0
wine,1,3,0.25,0.5,0.05,0.44239766081871346,-0.061339846727565935,0.006068250669231016,0.9777777777777777,0.9777777777777779,0.9814814814814815,0.9789819376026273
wine,2,1,0.25,0.5,0.05,0.42816764132553603,-0.14746553837990165,3.425847734004006e-11,0.9333333333333333,0.9347222222222222,0.9411764705882352,0.9331797235023043
wine,2,2,0.25,0.5,0.05,0.4499025341130604,0.0626413618855886,0.005072270109733466,0.9555555555555556,0.9553571428571429,0.9607843137254902,0.9560682994822779
wine,2,3,0.25,0.5,0.05,0.437037037037037,0.10011873490512636,7.259940205684179e-06,0.9555555555555556,0.9553571428571429,0.9607843137254902,0.9560682994822779
wine,3,1,0.25,0.5,0.05,0.49337231968810913,-0.15225953221427085,7.650735396117439e-12,1.0,1.0,1.0,1.0
wine,3,2,0.25,0.5,0.05,0.4248148148148148,-0.1789966896400952,7.312231587272002e-16,1.0,1.0,1.0,1.0
wine,3,3,0.25,0.5,0.05,0.434021164021164,0.1849296307994417,7.610775921500325e-17,1.0,1.0,1.0,1.0
wine,4,1,0.25,0.5,0.05,0.4440350877192983,-0.20129838009497475,9.912222348199135e-20,0.9090909090909091,0.8916666666666666,0.9393939393939394,0.9074074074074074
wine,4,2,0.25,0.5,0.05,0.4481481481481482,0.30075291521358244,4.343784018145095e-43,0.9318181818181818,0.9232804232804233,0.9458874458874459,0.933326819099733
wine,4,3,0.25,0.5,0.05,0.4422027290448343,0.08327034209791813,0.0001929205731560855,0.9090909090909091,0.8868686868686869,0.9393939393939394,0.902540834845735
wine,1,1,0.25,0.75,0.01,0.642251461988304,-0.6518074445020623,2.859544578686072e-242,0.9111111111111111,0.9138888888888889,0.9259259259259259,0.9123015873015873
