Dataset,nTrees,Rep,K,BaggingAccuracy,BaggingPrecision,BaggingRecall,BaggingF1,SAAccuracy,SAPrecision,SARecall,SAF1
wine,10,3,1,1.0,1.0,1.0,1.0,0.9444444444444444,0.9537037037037037,0.9444444444444444,0.9458293941052562
wine,10,3,2,0.9166666666666666,0.9263157894736841,0.9166666666666666,0.9177587844254512,0.9444444444444444,0.9555555555555555,0.9444444444444444,0.9460688758934374
wine,10,3,3,0.9444444444444444,0.9518518518518518,0.9444444444444444,0.9445767195767196,0.9166666666666666,0.9241071428571428,0.9166666666666666,0.9172839506172838
wine,10,3,4,0.9428571428571428,0.9460317460317461,0.9428571428571428,0.9432048681541584,0.9142857142857143,0.9148629148629149,0.9142857142857143,0.9132626963829009
wine,10,3,5,0.9714285714285714,0.9740259740259741,0.9714285714285714,0.9716162326999767,1.0,1.0,1.0,1.0
wine,10,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wine,10,4,2,0.9166666666666666,0.9393939393939394,0.9166666666666666,0.9198672356567094,0.9444444444444444,0.9555555555555555,0.9444444444444444,0.9460688758934374
wine,10,4,3,0.9444444444444444,0.9518518518518518,0.9444444444444444,0.9445767195767196,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444
wine,10,4,4,0.9428571428571428,0.9460317460317461,0.9428571428571428,0.9432048681541584,0.9428571428571428,0.9460317460317461,0.9428571428571428,0.9432048681541584
wine,10,4,5,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.9714285714285714,0.9740259740259741,0.9714285714285714,0.9716162326999767
wine,20,0,1,1.0,1.0,1.0,1.0,0.9722222222222222,0.9745370370370369,0.9722222222222222,0.9723471597534566
wine,20,0,2,0.9444444444444444,0.9555555555555555,0.9444444444444444,0.9460688758934374,0.9444444444444444,0.9555555555555555,0.9444444444444444,0.9460688758934374
wine,20,0,3,0.9444444444444444,0.9518518518518518,0.9444444444444444,0.9445767195767196,1.0,1.0,1.0,1.0
wine,20,0,4,0.9428571428571428,0.9460317460317461,0.9428571428571428,0.9432048681541584,0.9714285714285714,0.9736263736263737,0.9714285714285714,0.9715073891625615
wine,20,0,5,0.9714285714285714,0.9740259740259741,0.9714285714285714,0.9716162326999767,0.9714285714285714,0.9740259740259741,0.9714285714285714,0.9716162326999767
wine,20,1,1,0.9722222222222222,0.9745370370370369,0.9722222222222222,0.9723471597534566,1.0,1.0,1.0,1.0
wine,20,1,2,0.8888888888888888,0.9259259259259258,0.8888888888888888,0.8938271604938272,0.8888888888888888,0.9259259259259258,0.8888888888888888,0.8938271604938272
