dataset,fold,rep,beta,gamma,delta,fitness,spearman_corr,spearman_p,accuracy,precision,recall,f1
breast_cancer,2,3,0.25,0.5,0.01,0.30247858017135865,0.045649406530638356,0.04122187604425924,0.9366197183098591,0.932610939112487,0.9352159468438539,0.9338612016767582
breast_cancer,3,1,0.25,0.5,0.01,0.3090396476828185,0.10924401096125833,9.723705665479826e-07,0.971830985915493,0.9660801356794573,0.973712561947856,0.9696581196581197
breast_cancer,3,2,0.25,0.5,0.01,0.2918931048551612,-0.07820241863805963,0.0004643971263219015,0.9436619718309859,0.9425060346719334,0.9344968756733463,0.9382608695652175
breast_cancer,3,3,0.25,0.5,0.01,0.3013426455225721,-0.2622732272336744,8.124734604021399e-33,0.9295774647887324,0.9235078646843353,0.9235078646843353,0.9235078646843353
breast_cancer,4,1,0.25,0.5,0.01,0.29778443668055055,0.24745432932214506,2.7528592523763657e-29,0.971830985915493,0.9737121051515794,0.9669801462904911,0.9701178451178452
breast_cancer,4,2,0.25,0.5,0.01,0.3139106487148103,0.3403453528021666,2.017586191193184e-55,0.971830985915493,0.9703239289446186,0.9703239289446186,0.9703239289446186
breast_cancer,4,3,0.25,0.5,0.01,0.30772906102465464,-0.03836659048264783,0.08627833727836014,0.9788732394366197,0.9793771043771045,0.9760710553814003,0.9776671035386633
breast_cancer,1,1,0.25,0.5,0.05,0.31335406943118077,0.2677963787261183,3.425425700241895e-34,0.972027972027972,0.9737938596491228,0.9646236559139785,0.9689535388623534
breast_cancer,1,2,0.25,0.5,0.05,0.30638802675292887,0.013817023818352012,0.536865907432357,0.9370629370629371,0.9368351063829787,0.9238709677419354,0.9297987236131566
breast_cancer,1,3,0.25,0.5,0.05,0.3032867499697365,0.21964594195483003,2.835466296761857e-23,0.965034965034965,0.9597186700767264,0.9638709677419355,0.9617340112389617
breast_cancer,2,1,0.25,0.5,0.05,0.3067877456980344,0.11263768655478597,4.412552790968988e-07,0.9507042253521126,0.9497387669801463,0.9468438538205981,0.9482372545956361
breast_cancer,2,2,0.25,0.5,0.05,0.2953345573235414,0.3132724111474752,8.667013956057917e-47,0.9436619718309859,0.9474358974358974,0.9348006644518272,0.9402356902356903
breast_cancer,2,3,0.25,0.5,0.05,0.2988523958474999,0.10740555374503277,1.4775279840728555e-06,0.9507042253521126,0.9497387669801463,0.9468438538205981,0.9482372545956361
breast_cancer,3,1,0.25,0.5,0.05,0.28588448901499697,0.07130021529840716,0.0014192343262131564,0.9436619718309859,0.9359762560949756,0.9431157078215902,0.9393162393162393
breast_cancer,3,2,0.25,0.5,0.05,0.32685390802587866,0.052807307993514546,0.018187131978619382,0.9647887323943662,0.960042735042735,0.9639086403792286,0.9619160006436732
breast_cancer,3,3,0.25,0.5,0.05,0.3231706799666195,-0.16872321336436413,3.070154839411418e-14,0.9647887323943662,0.9739583333333333,0.9509803921568627,0.9608578201664921
breast_cancer,4,1,0.25,0.5,0.05,0.2950149292086296,0.07432805516293595,0.0008792013001167055,0.9436619718309859,0.9521615097651963,0.9306165099268547,0.9393162393162393
breast_cancer,4,2,0.25,0.5,0.05,0.31983161634706925,-0.07386243285208283,0.0009474644447839391,0.971830985915493,0.9703239289446186,0.9703239289446186,0.9703239289446186
breast_cancer,4,3,0.25,0.5,0.05,0.30875659994720045,0.014136257153891494,0.5274986391749188,0.9507042253521126,0.9468438538205981,0.9497387669801463,0.9482372545956361
breast_cancer,1,1,0.25,0.75,0.01,0.3479867054344198,-0.059518757714496266,0.007757267586488514,0.958041958041958,0.9505494505494505,0.958494623655914,0.9542838874680306
breast_cancer,1,2,0.25,0.75,0.01,0.3588437717247426,0.25837361216907795,7.263356087418609e-32,0.951048951048951,0.9444799658994032,0.948494623655914,0.9464276157345465
breast_cancer,1,3,0.25,0.75,0.01,0.3506542947656419,0.16988049886912182,2.0382498667268775e-14,0.958041958041958,0.9538709677419355,0.9538709677419355,0.9538709677419355
breast_cancer,2,1,0.25,0.75,0.01,0.33956403874981916,-0.22383825414044747,3.9464987757495425e-24,0.9225352112676056,0.922938308246767,0.9142441860465116,0.9181127129750983
breast_cancer,2,2,0.25,0.75,0.01,0.3331328769150067,-0.21600982473188063,1.517896217517364e-22,0.9225352112676056,0.9165815805595262,0.9235880398671097,0.9196295343452534
breast_cancer,2,3,0.25,0.75,0.01,0.3201038361473328,0.27063944519004396,6.51826938488006e-35,0.9154929577464789,0.9115448504983389,0.9115448504983389,0.9115448504983389
breast_cancer,3,1,0.25,0.75,0.01,0.32923777757108874,0.014390168429496268,0.5201080466028993,0.9507042253521126,0.9482608695652174,0.9443007972419737,0.9462208515933561
