Dataset,nTrees,Rep,K,DT,Bagging,RF,BaggingCustom,BaggingSA
digits,10,3,5,0.8607242339832869,0.9331476323119777,0.9387186629526463,0.9192200557103064,0.9275766016713092
digits,10,4,1,0.8583333333333333,0.9444444444444444,0.9583333333333334,0.9388888888888889,0.9333333333333333
digits,10,4,2,0.8805555555555555,0.9416666666666667,0.9555555555555556,0.9472222222222222,0.9305555555555556
digits,10,4,3,0.8356545961002786,0.9108635097493036,0.9415041782729805,0.8857938718662952,0.9080779944289693
digits,10,4,4,0.8746518105849582,0.9108635097493036,0.9526462395543176,0.9164345403899722,0.9415041782729805
digits,10,4,5,0.8690807799442897,0.9331476323119777,0.9387186629526463,0.9387186629526463,0.935933147632312
digits,20,0,1,0.8527777777777777,0.9444444444444444,0.9638888888888889,0.9361111111111111,0.9583333333333334
digits,20,0,2,0.8805555555555555,0.9555555555555556,0.9777777777777777,0.9472222222222222,0.9638888888888889
digits,20,0,3,0.8245125348189415,0.924791086350975,0.9498607242339833,0.9025069637883009,0.935933147632312
digits,20,0,4,0.8579387186629527,0.9192200557103064,0.9693593314763231,0.9303621169916435,0.9526462395543176
digits,20,0,5,0.8635097493036211,0.9415041782729805,0.9637883008356546,0.9303621169916435,0.9610027855153204
digits,20,1,1,0.85,0.9444444444444444,0.9638888888888889,0.9333333333333333,0.9555555555555556
digits,20,1,2,0.8833333333333333,0.9555555555555556,0.9777777777777777,0.9638888888888889,0.9611111111111111
digits,20,1,3,0.8328690807799443,0.924791086350975,0.9498607242339833,0.9192200557103064,0.9164345403899722
digits,20,1,4,0.8607242339832869,0.9192200557103064,0.9693593314763231,0.9442896935933147,0.958217270194986
digits,20,1,5,0.871866295264624,0.9415041782729805,0.9637883008356546,0.9331476323119777,0.9610027855153204
digits,20,2,1,0.8611111111111112,0.9444444444444444,0.9638888888888889,0.9361111111111111,0.9444444444444444
digits,20,2,2,0.8666666666666667,0.9555555555555556,0.9777777777777777,0.9555555555555556,0.9472222222222222
digits,20,2,3,0.841225626740947,0.924791086350975,0.9498607242339833,0.9192200557103064,0.9192200557103064
digits,20,2,4,0.8635097493036211,0.9192200557103064,0.9693593314763231,0.9331476323119777,0.9442896935933147
digits,20,2,5,0.8384401114206128,0.9415041782729805,0.9637883008356546,0.935933147632312,0.9665738161559888
digits,20,3,1,0.8527777777777777,0.9444444444444444,0.9638888888888889,0.9305555555555556,0.9555555555555556
digits,20,3,2,0.8888888888888888,0.9555555555555556,0.9777777777777777,0.9416666666666667,0.9555555555555556
digits,20,3,3,0.841225626740947,0.924791086350975,0.9498607242339833,0.8997214484679665,0.9331476323119777
digits,20,3,4,0.8635097493036211,0.9192200557103064,0.9693593314763231,0.9498607242339833,0.9498607242339833
digits,20,3,5,0.871866295264624,0.9415041782729805,0.9637883008356546,0.947075208913649,0.9554317548746518
digits,20,4,1,0.8416666666666667,0.9444444444444444,0.9638888888888889,0.9416666666666667,0.9472222222222222
digits,20,4,2,0.8777777777777778,0.9555555555555556,0.9777777777777777,0.9472222222222222,0.9444444444444444
digits,20,4,3,0.841225626740947,0.924791086350975,0.9498607242339833,0.9025069637883009,0.9331476323119777
digits,20,4,4,0.8774373259052924,0.9192200557103064,0.9693593314763231,0.935933147632312,0.947075208913649
digits,20,4,5,0.8551532033426184,0.9415041782729805,0.9637883008356546,0.9387186629526463,0.935933147632312
digits,30,0,1,0.8361111111111111,0.9583333333333334,0.9638888888888889,0.95,0.9416666666666667
digits,30,0,2,0.8805555555555555,0.9638888888888889,0.9833333333333333,0.9555555555555556,0.9666666666666667
digits,30,0,3,0.8384401114206128,0.9192200557103064,0.958217270194986,0.9331476323119777,0.924791086350975
digits,30,0,4,0.883008356545961,0.9303621169916435,0.9721448467966574,0.9415041782729805,0.9498607242339833
digits,30,0,5,0.871866295264624,0.947075208913649,0.9721448467966574,0.9442896935933147,0.9526462395543176
digits,30,1,1,0.8583333333333333,0.9583333333333334,0.9638888888888889,0.9472222222222222,0.9472222222222222
digits,30,1,2,0.875,0.9638888888888889,0.9833333333333333,0.9527777777777777,0.9611111111111111
digits,30,1,3,0.8384401114206128,0.9192200557103064,0.958217270194986,0.9220055710306406,0.9303621169916435
digits,30,1,4,0.8440111420612814,0.9303621169916435,0.9721448467966574,0.9442896935933147,0.9526462395543176
digits,30,1,5,0.8579387186629527,0.947075208913649,0.9721448467966574,0.9498607242339833,0.9442896935933147
digits,30,2,1,0.8694444444444445,0.9583333333333334,0.9638888888888889,0.9555555555555556,0.9555555555555556
digits,30,2,2,0.8833333333333333,0.9638888888888889,0.9833333333333333,0.9527777777777777,0.9472222222222222
digits,30,2,3,0.8328690807799443,0.9192200557103064,0.958217270194986,0.9164345403899722,0.9275766016713092
digits,30,2,4,0.8690807799442897,0.9303621169916435,0.9721448467966574,0.958217270194986,0.9526462395543176
digits,30,2,5,0.8690807799442897,0.947075208913649,0.9721448467966574,0.935933147632312,0.9415041782729805
digits,30,3,1,0.8444444444444444,0.9583333333333334,0.9638888888888889,0.9388888888888889,0.9444444444444444
digits,30,3,2,0.8805555555555555,0.9638888888888889,0.9833333333333333,0.9527777777777777,0.9527777777777777
digits,30,3,3,0.8245125348189415,0.9192200557103064,0.958217270194986,0.9331476323119777,0.9387186629526463
digits,30,3,4,0.8551532033426184,0.9303621169916435,0.9721448467966574,0.9442896935933147,0.9610027855153204
digits,30,3,5,0.871866295264624,0.947075208913649,0.9721448467966574,0.9387186629526463,0.9303621169916435
digits,30,4,1,0.8416666666666667,0.9583333333333334,0.9638888888888889,0.9333333333333333,0.9583333333333334
digits,30,4,2,0.8666666666666667,0.9638888888888889,0.9833333333333333,0.9638888888888889,0.9638888888888889
digits,30,4,3,0.8328690807799443,0.9192200557103064,0.958217270194986,0.9164345403899722,0.9303621169916435
digits,30,4,4,0.8635097493036211,0.9303621169916435,0.9721448467966574,0.9387186629526463,0.9498607242339833
digits,30,4,5,0.8662952646239555,0.947075208913649,0.9721448467966574,0.935933147632312,0.9415041782729805
digits,40,0,1,0.8666666666666667,0.9555555555555556,0.9666666666666667,0.9472222222222222,0.9611111111111111
digits,40,0,2,0.8805555555555555,0.9638888888888889,0.9805555555555555,0.9611111111111111,0.9638888888888889
digits,40,0,3,0.8495821727019499,0.9303621169916435,0.9637883008356546,0.9192200557103064,0.9331476323119777
digits,40,0,4,0.8607242339832869,0.9303621169916435,0.9777158774373259,0.935933147632312,0.947075208913649
digits,40,0,5,0.8662952646239555,0.9442896935933147,0.9749303621169917,0.9387186629526463,0.9442896935933147
