Iteration,T,BestFitness,Fitness,NewFitness,Accuracy
1,1.0,0.6984306100980409,0.6984306100980409,0.798832246096292,0.7207792207792207
2,0.995,0.798832246096292,0.798832246096292,0.7914544928183682,0.7207792207792207
3,0.990025,0.798832246096292,0.7914544928183682,0.7618514067873083,0.6948051948051948
4,0.985074875,0.798832246096292,0.7618514067873083,0.7846323562607018,0.6883116883116883
5,0.9801495006250001,0.798832246096292,0.7846323562607018,0.7590668844689102,0.6753246753246753
6,0.9752487531218751,0.798832246096292,0.7590668844689102,0.7905330769143137,0.6558441558441559
7,0.9703725093562657,0.798832246096292,0.7905330769143137,0.7736879464944216,0.6688311688311688
8,0.9655206468094844,0.798832246096292,0.7736879464944216,0.7831045675671533,0.6623376623376623
9,0.960693043575437,0.798832246096292,0.7831045675671533,0.7771294080601013,0.6623376623376623
10,0.9558895783575597,0.798832246096292,0.7771294080601013,0.77121786476459,0.6428571428571429
11,0.9511101304657719,0.798832246096292,0.77121786476459,0.7742856985386755,0.6298701298701299
12,0.946354579813443,0.798832246096292,0.7742856985386755,0.7851566435915395,0.6818181818181818
13,0.9416228069143757,0.798832246096292,0.7851566435915395,0.7373000133676815,0.6818181818181818
14,0.9369146928798039,0.798832246096292,0.7373000133676815,0.7658351359781552,0.6753246753246753
15,0.9322301194154049,0.798832246096292,0.7658351359781552,0.757685451990124,0.6948051948051948
16,0.9275689688183278,0.798832246096292,0.757685451990124,0.7616066130703127,0.6883116883116883
17,0.9229311239742362,0.798832246096292,0.7616066130703127,0.7290029014433692,0.6558441558441559
18,0.918316468354365,0.798832246096292,0.7290029014433692,0.7160585048044484,0.6363636363636364
19,0.9137248860125932,0.798832246096292,0.7160585048044484,0.705892673638475,0.6558441558441559
20,0.9091562615825302,0.798832246096292,0.705892673638475,0.7323766025743039,0.6558441558441559
21,0.9046104802746175,0.798832246096292,0.7323766025743039,0.7291296872187056,0.6753246753246753
22,0.9000874278732445,0.798832246096292,0.7291296872187056,0.7390428174812523,0.7012987012987013
