n_trees,decision_tree_mean,decision_tree_std,bagging_mean,bagging_std,bagging_nmax_mean,bagging_nmax_std,bagging_ga_mean,bagging_ga_std,bagging_sa_mean,bagging_sa_std
5,0.8592592592592593,0.014756830972693723,0.7074074074074074,0.06351878846719443,0.8712962962962963,0.010718367502583504,0.7546296296296297,0.019815680147252514,0.7175925925925926,0.07765643091208058
10,0.862962962962963,0.004721314364437784,0.8157407407407407,0.024462675580783157,0.9064814814814816,0.0065472850109865284,0.8398148148148148,0.02549240721840038,0.8148148148148149,0.031860463952009706
15,0.8611111111111112,0.01635511271542193,0.8703703703703703,0.008586683792125674,0.9250000000000002,0.00817755635771099,0.8685185185185186,0.008586683792125622,0.8694444444444445,0.01262794601572765
20,0.8740740740740741,0.0124914236696593,0.8981481481481483,0.01847216420672221,0.9268518518518519,0.014756830972693724,0.8990740740740741,0.0026189140043946114,0.899074074074074,0.014756830972693723
