Dataset,nTrees,Rep,K,DT,Bagging,RF,BaggingCustom,BaggingSA
pima,20,3,1,0.7142857142857143,0.7402597402597403,0.7662337662337663,0.7142857142857143,0.7077922077922078
pima,20,3,2,0.7077922077922078,0.7597402597402597,0.7467532467532467,0.8116883116883117,0.7662337662337663
pima,20,3,3,0.6883116883116883,0.7857142857142857,0.7987012987012987,0.7727272727272727,0.7662337662337663
pima,20,3,4,0.7320261437908496,0.7581699346405228,0.7712418300653595,0.7973856209150327,0.7777777777777778
pima,20,3,5,0.6928104575163399,0.7581699346405228,0.7320261437908496,0.7647058823529411,0.7581699346405228
pima,20,4,1,0.6883116883116883,0.7402597402597403,0.7662337662337663,0.7532467532467533,0.7532467532467533
pima,20,4,2,0.7012987012987013,0.7597402597402597,0.7467532467532467,0.7272727272727273,0.7207792207792207
pima,20,4,3,0.6883116883116883,0.7857142857142857,0.7987012987012987,0.7597402597402597,0.7857142857142857
pima,20,4,4,0.7189542483660131,0.7581699346405228,0.7712418300653595,0.7908496732026143,0.738562091503268
pima,20,4,5,0.673202614379085,0.7581699346405228,0.7320261437908496,0.7516339869281046,0.7254901960784313
pima,30,0,1,0.7142857142857143,0.7402597402597403,0.7727272727272727,0.7402597402597403,0.7467532467532467
pima,30,0,2,0.6818181818181818,0.7597402597402597,0.7597402597402597,0.7727272727272727,0.7207792207792207
pima,30,0,3,0.7207792207792207,0.7727272727272727,0.7922077922077922,0.7597402597402597,0.7402597402597403
pima,30,0,4,0.7254901960784313,0.7908496732026143,0.7581699346405228,0.7908496732026143,0.7450980392156863
pima,30,0,5,0.6928104575163399,0.7450980392156863,0.7581699346405228,0.7320261437908496,0.7450980392156863
pima,30,1,1,0.7077922077922078,0.7402597402597403,0.7727272727272727,0.7272727272727273,0.7467532467532467
pima,30,1,2,0.6753246753246753,0.7597402597402597,0.7597402597402597,0.7662337662337663,0.7337662337662337
pima,30,1,3,0.6883116883116883,0.7727272727272727,0.7922077922077922,0.7922077922077922,0.7207792207792207
pima,30,1,4,0.7124183006535948,0.7908496732026143,0.7581699346405228,0.7647058823529411,0.7777777777777778
pima,30,1,5,0.6993464052287581,0.7450980392156863,0.7581699346405228,0.738562091503268,0.738562091503268
pima,30,2,1,0.6818181818181818,0.7402597402597403,0.7727272727272727,0.7012987012987013,0.7532467532467533
pima,30,2,2,0.6883116883116883,0.7597402597402597,0.7597402597402597,0.7597402597402597,0.7662337662337663
pima,30,2,3,0.6948051948051948,0.7727272727272727,0.7922077922077922,0.7662337662337663,0.7597402597402597
pima,30,2,4,0.7189542483660131,0.7908496732026143,0.7581699346405228,0.7777777777777778,0.7320261437908496
pima,30,2,5,0.6993464052287581,0.7450980392156863,0.7581699346405228,0.7516339869281046,0.7647058823529411
pima,30,3,1,0.6818181818181818,0.7402597402597403,0.7727272727272727,0.7142857142857143,0.7532467532467533
pima,30,3,2,0.6948051948051948,0.7597402597402597,0.7597402597402597,0.7402597402597403,0.7857142857142857
pima,30,3,3,0.7012987012987013,0.7727272727272727,0.7922077922077922,0.7597402597402597,0.7597402597402597
pima,30,3,4,0.7320261437908496,0.7908496732026143,0.7581699346405228,0.7581699346405228,0.7058823529411765
pima,30,3,5,0.6862745098039216,0.7450980392156863,0.7581699346405228,0.7516339869281046,0.7450980392156863
pima,30,4,1,0.6948051948051948,0.7402597402597403,0.7727272727272727,0.7467532467532467,0.7792207792207793
pima,30,4,2,0.6948051948051948,0.7597402597402597,0.7597402597402597,0.7727272727272727,0.7857142857142857
pima,30,4,3,0.7012987012987013,0.7727272727272727,0.7922077922077922,0.7597402597402597,0.7662337662337663
pima,30,4,4,0.7320261437908496,0.7908496732026143,0.7581699346405228,0.7712418300653595,0.7647058823529411
pima,30,4,5,0.6928104575163399,0.7450980392156863,0.7581699346405228,0.7647058823529411,0.7254901960784313
pima,40,0,1,0.7077922077922078,0.7402597402597403,0.7727272727272727,0.7532467532467533,0.7467532467532467
pima,40,0,2,0.7077922077922078,0.7662337662337663,0.7792207792207793,0.7727272727272727,0.7597402597402597
pima,40,0,3,0.6948051948051948,0.7857142857142857,0.7857142857142857,0.7337662337662337,0.7532467532467533
pima,40,0,4,0.738562091503268,0.7843137254901961,0.7450980392156863,0.738562091503268,0.7320261437908496
pima,40,0,5,0.6993464052287581,0.7712418300653595,0.7647058823529411,0.7320261437908496,0.7581699346405228
pima,40,1,1,0.6753246753246753,0.7402597402597403,0.7727272727272727,0.7337662337662337,0.7402597402597403
pima,40,1,2,0.7142857142857143,0.7662337662337663,0.7792207792207793,0.7467532467532467,0.7337662337662337
pima,40,1,3,0.6883116883116883,0.7857142857142857,0.7857142857142857,0.7532467532467533,0.7532467532467533
pima,40,1,4,0.7058823529411765,0.7843137254901961,0.7450980392156863,0.7581699346405228,0.7647058823529411
pima,40,1,5,0.6797385620915033,0.7712418300653595,0.7647058823529411,0.7189542483660131,0.7320261437908496
pima,40,2,1,0.6623376623376623,0.7402597402597403,0.7727272727272727,0.7272727272727273,0.7597402597402597
pima,40,2,2,0.6753246753246753,0.7662337662337663,0.7792207792207793,0.7857142857142857,0.7402597402597403
pima,40,2,3,0.6623376623376623,0.7857142857142857,0.7857142857142857,0.7727272727272727,0.7402597402597403
pima,40,2,4,0.738562091503268,0.7843137254901961,0.7450980392156863,0.7777777777777778,0.738562091503268
pima,40,2,5,0.7124183006535948,0.7712418300653595,0.7647058823529411,0.7450980392156863,0.7973856209150327
pima,40,3,1,0.7012987012987013,0.7402597402597403,0.7727272727272727,0.7077922077922078,0.7337662337662337
pima,40,3,2,0.7012987012987013,0.7662337662337663,0.7792207792207793,0.7597402597402597,0.7792207792207793
pima,40,3,3,0.7012987012987013,0.7857142857142857,0.7857142857142857,0.7597402597402597,0.7532467532467533
pima,40,3,4,0.7189542483660131,0.7843137254901961,0.7450980392156863,0.7712418300653595,0.7908496732026143
pima,40,3,5,0.6797385620915033,0.7712418300653595,0.7647058823529411,0.7516339869281046,0.738562091503268
pima,40,4,1,0.6883116883116883,0.7402597402597403,0.7727272727272727,0.7337662337662337,0.7532467532467533
pima,40,4,2,0.6688311688311688,0.7662337662337663,0.7792207792207793,0.7597402597402597,0.7532467532467533
pima,40,4,3,0.7012987012987013,0.7857142857142857,0.7857142857142857,0.7727272727272727,0.7337662337662337
pima,40,4,4,0.7320261437908496,0.7843137254901961,0.7450980392156863,0.7516339869281046,0.7777777777777778
pima,40,4,5,0.673202614379085,0.7712418300653595,0.7647058823529411,0.7320261437908496,0.738562091503268
pima,50,0,1,0.7077922077922078,0.7337662337662337,0.7727272727272727,0.7272727272727273,0.7402597402597403
pima,50,0,2,0.6753246753246753,0.7597402597402597,0.7727272727272727,0.7662337662337663,0.8116883116883117
pima,50,0,3,0.7012987012987013,0.7922077922077922,0.7792207792207793,0.7792207792207793,0.7532467532467533
pima,50,0,4,0.7320261437908496,0.7843137254901961,0.7516339869281046,0.7843137254901961,0.7189542483660131
pima,50,0,5,0.6993464052287581,0.7581699346405228,0.7581699346405228,0.738562091503268,0.7254901960784313
pima,50,1,1,0.6948051948051948,0.7337662337662337,0.7727272727272727,0.7662337662337663,0.7272727272727273
pima,50,1,2,0.7012987012987013,0.7597402597402597,0.7727272727272727,0.7532467532467533,0.7792207792207793
pima,50,1,3,0.6948051948051948,0.7922077922077922,0.7792207792207793,0.7922077922077922,0.7402597402597403
pima,50,1,4,0.7450980392156863,0.7843137254901961,0.7516339869281046,0.7843137254901961,0.7516339869281046
pima,50,1,5,0.6993464052287581,0.7581699346405228,0.7581699346405228,0.738562091503268,0.7450980392156863
pima,50,2,1,0.7142857142857143,0.7337662337662337,0.7727272727272727,0.7077922077922078,0.7597402597402597
pima,50,2,2,0.6883116883116883,0.7597402597402597,0.7727272727272727,0.7727272727272727,0.7532467532467533
pima,50,2,3,0.7077922077922078,0.7922077922077922,0.7792207792207793,0.7597402597402597,0.7532467532467533
pima,50,2,4,0.738562091503268,0.7843137254901961,0.7516339869281046,0.7516339869281046,0.7254901960784313
pima,50,2,5,0.7320261437908496,0.7581699346405228,0.7581699346405228,0.738562091503268,0.7450980392156863
pima,50,3,1,0.6818181818181818,0.7337662337662337,0.7727272727272727,0.7402597402597403,0.7727272727272727
pima,50,3,2,0.6818181818181818,0.7597402597402597,0.7727272727272727,0.7857142857142857,0.7402597402597403
pima,50,3,3,0.6948051948051948,0.7922077922077922,0.7792207792207793,0.7727272727272727,0.7467532467532467
pima,50,3,4,0.7450980392156863,0.7843137254901961,0.7516339869281046,0.7320261437908496,0.7450980392156863
pima,50,3,5,0.6928104575163399,0.7581699346405228,0.7581699346405228,0.7777777777777778,0.7320261437908496
pima,50,4,1,0.6818181818181818,0.7337662337662337,0.7727272727272727,0.7272727272727273,0.7142857142857143
pima,50,4,2,0.6883116883116883,0.7597402597402597,0.7727272727272727,0.7792207792207793,0.7207792207792207
pima,50,4,3,0.6948051948051948,0.7922077922077922,0.7792207792207793,0.7792207792207793,0.7207792207792207
pima,50,4,4,0.7450980392156863,0.7843137254901961,0.7516339869281046,0.7712418300653595,0.7908496732026143
pima,50,4,5,0.6797385620915033,0.7581699346405228,0.7581699346405228,0.7712418300653595,0.803921568627451
