Iteration,T,BestFitness,Fitness,NewFitness,Accuracy
1,10.0,0.7512167487684729,0.7512167487684729,0.7380098522167488,0.8611111111111112
2,9.9,0.7512167487684729,0.7380098522167488,0.7308374384236452,0.8527777777777777
3,9.801,0.7512167487684729,0.7308374384236452,0.7327389162561577,0.8638888888888889
4,9.70299,0.7512167487684729,0.7327389162561577,0.7099113300492611,0.8361111111111111
5,9.605960099999999,0.7512167487684729,0.7099113300492611,0.7107339901477833,0.8222222222222222
6,9.509900498999999,0.7512167487684729,0.7107339901477833,0.7143743842364533,0.8194444444444444
7,9.414801494009998,0.7512167487684729,0.7143743842364533,0.7265024630541872,0.8027777777777778
8,9.320653479069898,0.7512167487684729,0.7265024630541872,0.7279901477832512,0.7916666666666666
9,9.2274469442792,0.7512167487684729,0.7279901477832512,0.7085221674876847,0.7916666666666666
10,9.135172474836407,0.7512167487684729,0.7085221674876847,0.7327093596059113,0.7888888888888889
11,9.043820750088043,0.7512167487684729,0.7327093596059113,0.7272216748768473,0.7972222222222223
12,8.953382542587162,0.7512167487684729,0.7272216748768473,0.7039753694581281,0.7944444444444444
13,8.863848717161291,0.7512167487684729,0.7039753694581281,0.6819753694581282,0.7777777777777778
14,8.775210229989678,0.7512167487684729,0.6819753694581282,0.6912167487684729,0.7833333333333333
15,8.687458127689782,0.7512167487684729,0.6912167487684729,0.6970492610837439,0.7805555555555556
16,8.600583546412883,0.7512167487684729,0.6970492610837439,0.7037635467980295,0.7555555555555555
17,8.514577710948755,0.7512167487684729,0.7037635467980295,0.6811330049261084,0.7638888888888888
18,8.429431933839268,0.7512167487684729,0.6811330049261084,0.6965665024630543,0.7805555555555556
19,8.345137614500876,0.7512167487684729,0.6965665024630543,0.6822758620689655,0.7361111111111112
20,8.261686238355868,0.7512167487684729,0.6822758620689655,0.694295566502463,0.7444444444444445
21,8.17906937597231,0.7512167487684729,0.694295566502463,0.69364039408867,0.725
22,8.097278682212586,0.7512167487684729,0.69364039408867,0.6784187192118226,0.7305555555555555
23,8.01630589539046,0.7512167487684729,0.6784187192118226,0.7013448275862069,0.725
24,7.936142836436555,0.7512167487684729,0.7013448275862069,0.6871625615763547,0.7333333333333333
25,7.856781408072189,0.7512167487684729,0.6871625615763547,0.6908128078817735,0.7333333333333333
26,7.778213593991468,0.7512167487684729,0.6908128078817735,0.6702906403940887,0.7166666666666667
27,7.700431458051553,0.7512167487684729,0.6702906403940887,0.6694729064039409,0.7194444444444444
28,7.623427143471037,0.7512167487684729,0.6694729064039409,0.680743842364532,0.7527777777777778
29,7.547192872036327,0.7512167487684729,0.680743842364532,0.6824532019704435,0.7166666666666667
30,7.4717209433159635,0.7512167487684729,0.6824532019704435,0.6763103448275861,0.7222222222222222
31,7.397003733882804,0.7512167487684729,0.6763103448275861,0.6910443349753695,0.7027777777777777
32,7.323033696543976,0.7512167487684729,0.6910443349753695,0.6682955665024631,0.7111111111111111
33,7.249803359578536,0.7512167487684729,0.6682955665024631,0.6612857142857143,0.7305555555555555
34,7.177305325982751,0.7512167487684729,0.6612857142857143,0.6386256157635468,0.7
35,7.105532272722923,0.7512167487684729,0.6386256157635468,0.6255862068965518,0.6861111111111111
36,7.034476949995693,0.7512167487684729,0.6255862068965518,0.6252758620689657,0.7277777777777777
37,6.964132180495737,0.7512167487684729,0.6252758620689657,0.6378768472906405,0.7194444444444444
38,6.894490858690779,0.7512167487684729,0.6378768472906405,0.6469655172413793,0.6972222222222222
39,6.825545950103871,0.7512167487684729,0.6469655172413793,0.645448275862069,0.6305555555555555
40,6.757290490602832,0.7512167487684729,0.645448275862069,0.6564975369458128,0.6222222222222222
41,6.689717585696804,0.7512167487684729,0.6564975369458128,0.6373940886699507,0.6361111111111111
42,6.622820409839836,0.7512167487684729,0.6373940886699507,0.6468571428571428,0.65
43,6.556592205741437,0.7512167487684729,0.6468571428571428,0.6821724137931036,0.6638888888888889
44,6.491026283684023,0.7512167487684729,0.6821724137931036,0.6644334975369459,0.6777777777777778
45,6.426116020847182,0.7512167487684729,0.6644334975369459,0.6780344827586207,0.6861111111111111
46,6.361854860638711,0.7512167487684729,0.6780344827586207,0.6470837438423647,0.6972222222222222
47,6.298236312032324,0.7512167487684729,0.6470837438423647,0.6546600985221676,0.6694444444444444
48,6.235253948912001,0.7512167487684729,0.6546600985221676,0.6783743842364531,0.7222222222222222
49,6.172901409422881,0.7512167487684729,0.6783743842364531,0.6444926108374385,0.6833333333333333
50,6.111172395328652,0.7512167487684729,0.6444926108374385,0.644142857142857,0.7111111111111111
51,6.050060671375365,0.7512167487684729,0.644142857142857,0.6431871921182265,0.7
52,5.989560064661611,0.7512167487684729,0.6431871921182265,0.6435714285714287,0.6861111111111111
53,5.929664464014995,0.7512167487684729,0.6435714285714287,0.6252463054187192,0.6805555555555556
54,5.870367819374845,0.7512167487684729,0.6252463054187192,0.6133251231527095,0.6944444444444444
55,5.8116641411810965,0.7512167487684729,0.6133251231527095,0.6055862068965516,0.6777777777777778
56,5.753547499769286,0.7512167487684729,0.6055862068965516,0.6351674876847291,0.6583333333333333
57,5.696012024771592,0.7512167487684729,0.6351674876847291,0.6177783251231528,0.6388888888888888
58,5.6390519045238765,0.7512167487684729,0.6177783251231528,0.5943546798029556,0.6416666666666667
59,5.582661385478637,0.7512167487684729,0.5943546798029556,0.6157881773399014,0.7166666666666667
60,5.526834771623851,0.7512167487684729,0.6157881773399014,0.5975073891625615,0.6861111111111111
61,5.471566423907612,0.7512167487684729,0.5975073891625615,0.5868029556650247,0.6777777777777778
62,5.416850759668536,0.7512167487684729,0.5868029556650247,0.6031330049261083,0.6722222222222223
63,5.362682252071851,0.7512167487684729,0.6031330049261083,0.6141231527093595,0.6888888888888889
64,5.309055429551132,0.7512167487684729,0.6141231527093595,0.6180492610837438,0.6777777777777778
65,5.2559648752556205,0.7512167487684729,0.6180492610837438,0.6368423645320197,0.7083333333333334
66,5.203405226503064,0.7512167487684729,0.6368423645320197,0.6516305418719212,0.7166666666666667
67,5.151371174238034,0.7512167487684729,0.6516305418719212,0.6410443349753694,0.7111111111111111
68,5.099857462495653,0.7512167487684729,0.6410443349753694,0.607960591133005,0.6833333333333333
69,5.048858887870697,0.7512167487684729,0.607960591133005,0.6289113300492611,0.6916666666666667
70,4.99837029899199,0.7512167487684729,0.6289113300492611,0.6502906403940886,0.7194444444444444
71,4.94838659600207,0.7512167487684729,0.6502906403940886,0.6737192118226601,0.7583333333333333
72,4.89890273004205,0.7512167487684729,0.6737192118226601,0.6589064039408867,0.7361111111111112
73,4.849913702741629,0.7512167487684729,0.6589064039408867,0.6627142857142858,0.7583333333333333
74,4.801414565714213,0.7512167487684729,0.6627142857142858,0.6440935960591134,0.7527777777777778
75,4.75340042005707,0.7512167487684729,0.6440935960591134,0.6744285714285713,0.7833333333333333
76,4.7058664158565,0.7512167487684729,0.6744285714285713,0.6715960591133004,0.7638888888888888
77,4.6588077516979345,0.7512167487684729,0.6715960591133004,0.6802118226600986,0.7583333333333333
78,4.612219674180955,0.7512167487684729,0.6802118226600986,0.6614827586206896,0.7583333333333333
79,4.566097477439145,0.7512167487684729,0.6614827586206896,0.6652807881773399,0.7277777777777777
80,4.5204365026647535,0.7512167487684729,0.6652807881773399,0.6652019704433498,0.7
81,4.475232137638106,0.7512167487684729,0.6652019704433498,0.654783251231527,0.7
82,4.430479816261725,0.7512167487684729,0.654783251231527,0.632551724137931,0.6944444444444444
83,4.386175018099108,0.7512167487684729,0.632551724137931,0.662512315270936,0.6583333333333333
84,4.342313267918117,0.7512167487684729,0.662512315270936,0.6497142857142857,0.6638888888888889
85,4.298890135238936,0.7512167487684729,0.6497142857142857,0.6655812807881772,0.7083333333333334
86,4.255901233886546,0.7512167487684729,0.6655812807881772,0.6386206896551725,0.7194444444444444
87,4.213342221547681,0.7512167487684729,0.6386206896551725,0.6390837438423645,0.7083333333333334
88,4.171208799332204,0.7512167487684729,0.6390837438423645,0.6200689655172413,0.6972222222222222
89,4.129496711338882,0.7512167487684729,0.6200689655172413,0.6050788177339901,0.6944444444444444
90,4.0882017442254925,0.7512167487684729,0.6050788177339901,0.6288374384236454,0.6944444444444444
91,4.047319726783238,0.7512167487684729,0.6288374384236454,0.6311674876847291,0.6861111111111111
92,4.006846529515405,0.7512167487684729,0.6311674876847291,0.6262364532019704,0.6583333333333333
93,3.966778064220251,0.7512167487684729,0.6262364532019704,0.6559950738916256,0.6944444444444444
94,3.9271102835780485,0.7512167487684729,0.6559950738916256,0.6546798029556651,0.6555555555555556
95,3.887839180742268,0.7512167487684729,0.6546798029556651,0.6566206896551724,0.6472222222222223
96,3.848960788934845,0.7512167487684729,0.6566206896551724,0.6570394088669951,0.7027777777777777
97,3.8104711810454965,0.7512167487684729,0.6570394088669951,0.6655862068965518,0.7
98,3.7723664692350414,0.7512167487684729,0.6655862068965518,0.6500689655172415,0.6722222222222223
99,3.7346428045426907,0.7512167487684729,0.6500689655172415,0.6452118226600985,0.6833333333333333
100,3.6972963764972637,0.7512167487684729,0.6452118226600985,0.6745221674876847,0.7055555555555556
101,3.660323412732291,0.7512167487684729,0.6745221674876847,0.6458817733990149,0.6944444444444444
102,3.623720178604968,0.7512167487684729,0.6458817733990149,0.6655714285714286,0.6944444444444444
103,3.5874829768189187,0.7512167487684729,0.6655714285714286,0.6438768472906403,0.6944444444444444
104,3.5516081470507297,0.7512167487684729,0.6438768472906403,0.649566502463054,0.7361111111111112
105,3.5160920655802226,0.7512167487684729,0.649566502463054,0.6461182266009852,0.7361111111111112
106,3.4809311449244205,0.7512167487684729,0.6461182266009852,0.6571477832512315,0.6833333333333333
107,3.446121833475176,0.7512167487684729,0.6571477832512315,0.6471477832512315,0.7166666666666667
108,3.4116606151404243,0.7512167487684729,0.6471477832512315,0.635128078817734,0.65
109,3.37754400898902,0.7512167487684729,0.635128078817734,0.6500788177339901,0.6861111111111111
110,3.34376856889913,0.7512167487684729,0.6500788177339901,0.6550443349753694,0.7138888888888889
111,3.3103308832101384,0.7512167487684729,0.6550443349753694,0.6428866995073891,0.6916666666666667
112,3.277227574378037,0.7512167487684729,0.6428866995073891,0.6506305418719213,0.6722222222222223
113,3.2444552986342567,0.7512167487684729,0.6506305418719213,0.6485566502463054,0.6944444444444444
114,3.2120107456479143,0.7512167487684729,0.6485566502463054,0.6611379310344827,0.675
115,3.179890638191435,0.7512167487684729,0.6611379310344827,0.6509950738916256,0.7111111111111111
116,3.148091731809521,0.7512167487684729,0.6509950738916256,0.660768472906404,0.7277777777777777
117,3.1166108144914255,0.7512167487684729,0.660768472906404,0.6448275862068966,0.7166666666666667
118,3.0854447063465114,0.7512167487684729,0.6448275862068966,0.6511379310344827,0.6888888888888889
119,3.0545902592830463,0.7512167487684729,0.6511379310344827,0.6461330049261084,0.6888888888888889
120,3.024044356690216,0.7512167487684729,0.6461330049261084,0.649487684729064,0.7138888888888889
121,2.9938039131233136,0.7512167487684729,0.649487684729064,0.6645320197044335,0.7305555555555555
122,2.9638658739920807,0.7512167487684729,0.6645320197044335,0.6758522167487685,0.7222222222222222
123,2.93422721525216,0.7512167487684729,0.6758522167487685,0.6693054187192118,0.7583333333333333
124,2.9048849430996384,0.7512167487684729,0.6693054187192118,0.640576354679803,0.7527777777777778
