Dataset,Beta,Gamma,Delta,FI,FitnessNorm,SpearmanCorr
breast cancer,0.5,0.75,0.05,0.9532664762986846,0.48189137153569445,0.1209434347881912
digits,0.75,0.25,0.01,0.9533058875376018,0.8087760401518463,0.38096824180472616
obesity,0.75,0.25,0.05,0.9523113559502893,0.8157746143923239,0.0158281313039938
pima,0.75,0.25,0.05,0.7107732753338273,0.6918729764831913,0.1536242629486836
students dropout,0.25,0.25,0.01,0.661595137754915,0.5816579340605328,-0.26198033114039543
wine,0.75,0.5,0.05,0.9894909688013136,0.7294736842105263,-0.0830954267552589
