nTrees,BaggingNormality,SANormality,VarianceTest,ComparisonTest,Result
10,Shapiro: 0.131,Shapiro: 0.426,Levene (mean): 0.687,T-test (equal var): 0.962,H0 accepted
20,Shapiro: 0.223,Shapiro: 0.235,Levene (mean): 0.818,T-test (equal var): 1.000,H0 accepted
30,Shapiro: 0.230,Shapiro: 0.348,Levene (mean): 0.740,T-test (equal var): 1.000,H0 accepted
40,Shapiro: 0.301,Shapiro: 0.923,Levene (mean): 0.740,T-test (equal var): 0.999,H0 accepted
50,Shapiro: 0.575,Shapiro: 0.760,Levene (mean): 0.667,T-test (equal var): 1.000,H0 accepted
