nTrees,BaggingNormality,SANormality,VarianceTest,ComparisonTest,Result
10,Shapiro: 0.001,Shapiro: 0.000,Levene (median): 0.055,Mann-Whitney: 0.088,H0 accepted
20,Shapiro: 0.002,Shapiro: 0.001,Levene (median): 0.109,Mann-Whitney: 0.084,H0 accepted
30,Shapiro: 0.000,Shapiro: 0.000,Levene (median): 0.134,Mann-Whitney: 0.012,H0 rejected
40,Shapiro: 0.004,Shapiro: 0.000,Levene (median): 0.884,Mann-Whitney: 0.130,H0 accepted
50,Shapiro: 0.003,Shapiro: 0.000,Levene (median): 0.303,Mann-Whitney: 0.019,H0 rejected
