Dataset,nTrees,BaggingAccuracy,SAAccuracy,BaggingAccuracySTD,SAAccuracySTD,BaggingFI,SAFI,BaggingFISTD,SAFISTD
breast cancer,10,0.9470307405682348,0.9558181959323087,0.017169010174163432,0.015679272924915,0.9416910872647165,0.951796910693519,0.01993900019791602,0.016296880276315553
breast cancer,20,0.9551525384257102,0.9540618692749574,0.014727414088412992,0.015429226131515506,0.9509904360653973,0.9497075786362343,0.015154683466146703,0.01628064412821309
breast cancer,30,0.9547178233193604,0.9595482068001863,0.011832368701501329,0.017405415461977502,0.9508241946496779,0.9557077297442543,0.011111880532571302,0.018506832956488986
breast cancer,40,0.9599945660611706,0.9551603011954665,0.012193899199446459,0.015344272485755792,0.956318294010156,0.9511443851968711,0.012435346381410415,0.015080184996722016
breast cancer,50,0.9580092376960099,0.9555950163018165,0.011996886555794305,0.015382438044238812,0.9542915547370316,0.9516205020963705,0.01158736827087622,0.015502048730295565
