Dataset,nTrees,BaggingAccuracy,SAAccuracy,BaggingAccuracySTD,SAAccuracySTD,BaggingF1,SAF1,BaggingF1STD,SAF1STD
digits,10,0.9284311358712474,0.9327613741875581,0.015843632086564505,0.020515235874037644,0.9282711582599857,0.9325594275572449,0.015719611805196283,0.020535136631626816
digits,20,0.9377765397709688,0.9505756731662024,0.012198648984862063,0.014433998514852492,0.9376515645411359,0.9504438226252033,0.012300555879953512,0.01448632587936204
digits,30,0.9389990714948933,0.9536898792943361,0.011940355140470352,0.012035010670396126,0.938886486182584,0.953570144680466,0.011990928739026959,0.011982333362274713
digits,40,0.9383348808418447,0.9533574744661095,0.011045263178248811,0.010491949578409536,0.938176499227772,0.9531743506753309,0.011100204882976968,0.010508023832088202
digits,50,0.9418932219127205,0.9565908387496131,0.012346168421669365,0.009282424499107322,0.9417663636951084,0.9564338178484743,0.012551917467803016,0.009336638977584993
