nTrees,BaggingNormality,SANormality,VarianceTest,ComparisonTest,Result
10,Shapiro: 0.169,Shapiro: 0.011,Levene (median): 0.059,Mann-Whitney: 0.000,H0 rejected
20,Shapiro: 0.371,Shapiro: 0.111,Levene (mean): 0.651,T-test (equal var): 0.000,H0 rejected
30,Shapiro: 0.351,Shapiro: 0.037,Levene (median): 0.165,Mann-Whitney: 0.000,H0 rejected
40,Shapiro: 0.346,Shapiro: 0.904,Levene (mean): 0.323,T-test (equal var): 0.001,H0 rejected
50,Shapiro: 0.109,Shapiro: 0.002,Levene (median): 0.201,Mann-Whitney: 0.004,H0 rejected
