nTrees,BaggingNormality,SANormality,VarianceTest,ComparisonTest,Result
10,Shapiro: 0.855,Shapiro: 0.653,Levene (mean): 0.607,T-test (equal var): 0.008,H0 rejected
20,Shapiro: 0.286,Shapiro: 0.234,Levene (mean): 0.800,T-test (equal var): 0.002,H0 rejected
30,Shapiro: 0.060,Shapiro: 0.899,Levene (mean): 0.056,T-test (equal var): 0.019,H0 rejected
40,Shapiro: 0.630,Shapiro: 0.929,Levene (mean): 0.434,T-test (equal var): 0.106,H0 accepted
50,Shapiro: 0.073,Shapiro: 0.040,Levene (median): 0.669,Mann-Whitney: 0.157,H0 accepted
