nTrees,BaggingNormality,SANormality,VarianceTest,ComparisonTest,Result
10,Shapiro: 0.001,Shapiro: 0.001,Levene (median): 0.065,Mann-Whitney: 0.082,H0 accepted
20,Shapiro: 0.000,Shapiro: 0.001,Levene (median): 0.107,Mann-Whitney: 0.121,H0 accepted
30,Shapiro: 0.000,Shapiro: 0.000,Levene (median): 0.114,Mann-Whitney: 0.020,H0 rejected
40,Shapiro: 0.001,Shapiro: 0.000,Levene (median): 0.975,Mann-Whitney: 0.196,H0 accepted
50,Shapiro: 0.001,Shapiro: 0.000,Levene (median): 0.269,Mann-Whitney: 0.033,H0 rejected
