Trees_n,Bagging,bagging_std,Bagging SA,bagging_sa_std,Decision Tree,dt_std
5,0.7377777777777778,0.03492103575206863,0.7177777777777777,0.0448897445218539,0.8547222222222223,0.008690888911301717
10,0.8474999999999999,0.024860723150293817,0.8424999999999999,0.016669238484700144,0.8525,0.010011139200574466
15,0.8761111111111111,0.026906075519533258,0.8777777777777777,0.022868683398571222,0.851388888888889,0.008511470514282507
20,0.9088888888888889,0.01822922178122179,0.9019444444444444,0.01269903272295831,0.8591666666666666,0.008286907716764623
25,0.9174999999999999,0.012699032722958303,0.9205555555555556,0.01636559340391534,0.8547222222222223,0.008981958750205774
30,0.9247222222222223,0.01129857293391225,0.9263888888888889,0.013305655428888822,0.8561111111111112,0.00942445233333296
35,0.9286111111111112,0.012004942969157764,0.9252777777777779,0.014371253313844912,0.8480555555555556,0.010397616324910956
