Trees_n,Bagging,bagging_std,Bagging SA,bagging_sa_std,Decision Tree,dt_std
5,0.7625,0.025534411542847538,0.711111111111111,0.03142696805273541,0.8388888888888889,0.003928371006591917
10,0.8319444444444444,0.009820927516479871,0.8430555555555556,0.005892556509887875,0.8319444444444445,0.0019641855032959585
15,0.8708333333333333,0.02160604053625562,0.8777777777777778,0.003928371006591917,0.8388888888888888,0.015713484026367745
20,0.8916666666666666,0.015713484026367745,0.875,0.023570226039551657,0.8277777777777777,0.003928371006591995
